Changed;Fighter;String;String_uk;
;Stereohead;Ah what a downer! Where's that mixtape I made to|play when everything goes wrong?||I hope I haven't lost it - that would make me|need it even more...;Ah what a downer! Where's that mixtape I made to|play when everything goes wrong?||I hope I haven't lost it - that would make me|need it even more...;
;Wizard;Good show! You and your chums really are making|stellar progress with this fighting lark!;Good show! You and your chums really are making|stellar progress with this fighting lark!;
;Keymaster;Oh, another really neat fight!||I wasn't NEARLY this good back when I|was a contestant!||You're going to be a top-ranked minion in no time!;Oh, another really neat fight!||I wasn't NEARLY this good back when I|was a contestant!||You're going to be a top-ranked minion in no time!;
;Bully;You think you're so great! But you know what?||You're not! ROCKS are great and they're gonna get ya!;You think you're so great! But you know what?||You're not! ROCKS are great and they're gonna get ya!;
;Dire Wolf;Grrrrr, one day I'll beat you!||And hey, could you take another message to my kid?||Could you tell him to remember the Gardener is our|colleague and he's NOT allowed to eat him? Thanks!;Grrrrr, one day I'll beat you!||And hey, could you take another message to my kid?||Could you tell him to remember the Gardener is our|colleague and he's NOT allowed to eat him? Thanks!;
;Snowman;It's great to see you again! Hey, has anyone shown|you the new staff room?;It's great to see you again! Hey, has anyone shown|you the new staff room?;
;Bounty Hunter;A terrible defeat! And yet I begrudge you nothing, because|the Earth food available in our new staff room is a|perpetual wonder to me!||I delight in your very presence!;A terrible defeat! And yet I begrudge you nothing, because|the Earth food available in our new staff room is a|perpetual wonder to me!||I delight in your very presence!;
;Rose;Well. Another awful fight. I assume you're cheating.||But I've enrolled in our new training programme to prepare myself for|promotion to a superior Dungeon level, so at least I won't have to|put up with this nonsense for much longer.;Well. Another awful fight. I assume you're cheating.||But I've enrolled in our new training programme to prepare myself for|promotion to a superior Dungeon level, so at least I won't have to|put up with this nonsense for much longer.;
;Drain Monster;Yeah fine, but when you're out in the world and hear a|gurgle in the drains, you watch out!||It could be me, ready to get you when you LEAST EXPECT IT...;Yeah fine, but when you're out in the world and hear a|gurgle in the drains, you watch out!||It could be me, ready to get you when you LEAST EXPECT IT...;
;Drain Monster;You can act all high and mighty if you like, but I live in|the drains. I hear everything. I know EVERYONE's secrets.;You can act all high and mighty if you like, but I live in|the drains. I hear everything. I know EVERYONE's secrets.;
;Fireman;Ah that was a good time, appreciate it!||And hey, not to be all corny but thanks for leadin' that|insurrection before, it's really made a difference!;Ah that was a good time, appreciate it!||And hey, not to be all corny but thanks for leadin' that|insurrection before, it's really made a difference!;
;Bully;Rock on! By which I mean I'm going to put a ROCK ON you!||But in, like, a friendly way because we're friends|now, right? RIGHT?;Rock on! By which I mean I'm going to put a ROCK ON you!||But in, like, a friendly way because we're friends|now, right? RIGHT?;
;Sneezy;Oh, you again. I finally got some more antihistamines now|that we're allowed out of the Dungeons, so thanks I guess.||But now it turns out I'm allergic to them as well.|Ahhhh.... CHOO!;Oh, you again. I finally got some more antihistamines now|that we're allowed out of the Dungeons, so thanks I guess.||But now it turns out I'm allergic to them as well.|Ahhhh.... CHOO!;
;Frog;Ugggh. I'll get you next time!||Also DID YOU SEE MY NEW BIG SWORD!|IT'S SO BIG! I'M SO HAPPY!;Ugggh. I'll get you next time!||Also DID YOU SEE MY NEW BIG SWORD!|IT'S SO BIG! I'M SO HAPPY!;
;Gardener;WATCH OUT FOR THE PEAS!||You'd think the gardening would go better now that we've got a|skylight in, but that space marine just keeps coming to gaze up|at the moon and TRAMPLING them again!;WATCH OUT FOR THE PEAS!||You'd think the gardening would go better now that we've got a|skylight in, but that space marine just keeps coming to gaze up|at the moon and TRAMPLING them again!;
;Magician;Honestly given that you've already beaten the whole|dungeons, it'd be polite for you to lose a few more|fights here and there. Still, you do you I guess.;Honestly given that you've already beaten the whole|dungeons, it'd be polite for you to lose a few more|fights here and there. Still, you do you I guess.;
;Bestiary questions - Frog - Favourite food;The souls of my enemies!;The souls of my enemies!;
;Bestiary questions - Frog - Job;Defeating all who defy Lady Luck!;Defeating all who defy Lady Luck!;
;Bestiary questions - Frog - Likes;VICTORY;VICTORY;
;Bestiary questions - Frog - Dislikes;VICTORY THAT TAKES TOO LONG TO ACHIEVE;VICTORY THAT TAKES TOO LONG TO ACHIEVE;
;Bestiary questions - Frog - Reason for entering the dungeons;To join the forces of Lady Luck and pit myself|against her enemies!;To join the forces of Lady Luck and pit myself|against her enemies!;
;Bestiary questions - Wolf Puppy - Favourite food;Oh! Fingers! Fingers are so delicious!;Oh! Fingers! Fingers are so delicious!;
;Bestiary questions - Wolf Puppy - Hobbies;Bouncing and running and playing fetch and hunting|down small rabbits!;Bouncing and running and playing fetch and hunting|down small rabbits!;
;Bestiary questions - Wolf Puppy - Favourite book;Anything with a happy ending! My favourite is The|Boy Who Cried Wolf;Anything with a happy ending! My favourite is The|Boy Who Cried Wolf;
;Bestiary questions - Wolf Puppy - Reason for entering the dungeons;I was chasing a rabbit and I came down by accident.|But it's okay! I like it here!;I was chasing a rabbit and I came down by accident.|But it's okay! I like it here!;
;Bestiary questions - Vacuum - Likes;Crumbs, lint, rice, chunky dust;Crumbs, lint, rice, chunky dust;
;Bestiary questions - Vacuum - Dislikes;Hair bands, broken glass, loose coins, string;Hair bands, broken glass, loose coins, string;
;Bestiary questions - Vacuum - Favourite food;Grains of sugar spilled all over the floor;Grains of sugar spilled all over the floor;
;Bestiary questions - Vacuum - Reason for entering the dungeons;Wanted to stop the word [quote]suck[quote] from being used|when something's bad;Wanted to stop the word [quote]suck[quote] from being used|when something's bad;
;Bestiary questions - Space Marine - Favourite food;Mum's hash browns;Mum's hash browns;
;Bestiary questions - Space Marine - Happiest moment;My very first blast-off! TEN. NINE. EIGHT. SEVEN...;My very first blast-off! TEN. NINE. EIGHT. SEVEN...;
;Bestiary questions - Space Marine - Six things you couldn't live without;SIX. FIVE. FOUR. THREE. TWO. ONE. Blast-offfffff!;SIX. FIVE. FOUR. THREE. TWO. ONE. Blast-offfffff!;
;Bestiary questions - Space Marine - Reason for entering the dungeons;Wanted to be selected for the first mission to Mars;Wanted to be selected for the first mission to Mars;
;Bestiary questions - Hothead - Greatest fear;Trying and failing. NO WAIT I mean I'm not afraid of|anything;Trying and failing. NO WAIT I mean I'm not afraid of|anything;
;Bestiary questions - Hothead - Childhood pet;I don't need a pet to love me, I have my own sense|of self worth for that;I don't need a pet to love me, I have my own sense|of self worth for that;
;Bestiary questions - Hothead - Happiest moment;Happier than whatever yours was;Happier than whatever yours was;
;Bestiary questions - Hothead - Reason for entering the dungeons;Really good;Really good;
;Bestiary questions - RoboBot - Favourite food;Lasers;Lasers;
;Bestiary questions - RoboBot - Job;Lasers;Lasers;
;Bestiary questions - RoboBot - Hobbies;Also lasers;Also lasers;
;Bestiary questions - RoboBot - Reason for entering the dungeons;Heard there were some cool lasers down here - but|there weren't :-(;Heard there were some cool lasers down here - but|there weren't :-(;
;Bestiary questions - Slime - Favourite food;SLORP;SLORP;
;Bestiary questions - Slime - Hobbies;SLURPLE slup slup;SLURPLE slup slup;
;Bestiary questions - Slime - Likes;Slurp;Slurp;
;Bestiary questions - Slime - Dislikes;Broccoli;Broccoli;
;Bestiary questions - Slime - Reason for entering the dungeons;SLUP SLUP SLUP SLUP SLUUUUUURP;SLUP SLUP SLUP SLUP SLUUUUUURP;
;Bestiary questions - Magician - Hobbies;Shuffling cards, juggling, feeling melancholy;Shuffling cards, juggling, feeling melancholy;
;Bestiary questions - Magician - Childhood pet;A New Zealand Giant rabbit named Grover;A New Zealand Giant rabbit named Grover;
;Bestiary questions - Magician - Secret shame;Accidentally left the hutch open once, and Grover|disappeared for ever;Accidentally left the hutch open once, and Grover|disappeared for ever;
;Bestiary questions - Magician - Reason for entering the dungeons;To find that which was lost (it sounds way better|than [quote]looking for a pet rabbit[quote]);To find that which was lost (it sounds way better|than [quote]looking for a pet rabbit[quote]);
;Bestiary questions - Gardener - Favourite food;Vegetarian sausages;Vegetarian sausages;
;Bestiary questions - Gardener - Favourite book;Watership Down;Watership Down;
;Bestiary questions - Gardener - Six things you couldn't live without;Watering can, shovel, rich compost, determination,|daffodils, hope;Watering can, shovel, rich compost, determination,|daffodils, hope;
;Bestiary questions - Gardener - Reason for entering the dungeons;Barely remember nowadays, to be honest, it|happened so long ago;Barely remember nowadays, to be honest, it|happened so long ago;
;Bestiary questions - Dryad - Childhood pet;A hundred passing squirrels;A hundred passing squirrels;
;Bestiary questions - Dryad - Likes;Trees;Trees;
;Bestiary questions - Dryad - Dislikes;Things that aren't trees;Things that aren't trees;
;Bestiary questions - Dryad - Reason for entering the dungeons;Knew only the branches and leaves of the trees,|wanted to come underground to see their roots;Knew only the branches and leaves of the trees,|wanted to come underground to see their roots;
;Bestiary questions - Baby Squid - Favourite food;Shrimp!;Shrimp!;
;Bestiary questions - Baby Squid - Greatest fear;Being left alone down here for ever;Being left alone down here for ever;
;Bestiary questions - Baby Squid - Happiest moment;When the dice came back to fight again! That was|so nice of them!;When the dice came back to fight again! That was|so nice of them!;
;Bestiary questions - Baby Squid - Reason for entering the dungeons;Wanted to be a great big giant squid, not just a|little baby squid;Wanted to be a great big giant squid, not just a|little baby squid;
;Bestiary questions - Alchemist - Job;Alchemy;Alchemy;
;Bestiary questions - Alchemist - Hobbies;Alchemy;Alchemy;
;Bestiary questions - Alchemist - Likes;Tin, aluminium, bismuth;Tin, aluminium, bismuth;
;Bestiary questions - Alchemist - Dislikes;Nickel, lead;Nickel, lead;
;Bestiary questions - Alchemist - Reason for entering the dungeons;To find the Philosopher's Stone;To find the Philosopher's Stone;
;Bestiary questions - Mimic - Hobbies;Doing impressions. Hey hey, who's this? [quote]WELCOME|to... DICEEEEY DUNGEEEOOOOONS![quote];Doing impressions. Hey hey, who's this? [quote]WELCOME|to... DICEEEEY DUNGEEEOOOOONS![quote];
;Bestiary questions - Mimic - Favourite book;The Talented Mr Ripley;The Talented Mr Ripley;
;Bestiary questions - Mimic - Reason for entering the dungeons;Not many places these days where you can get such|a regular supply of adventurers;Not many places these days where you can get such|a regular supply of adventurers;
;Bestiary questions - Copycat - Favourite food;Nobody likes me everybody hates me think I'll go eat|worms;Nobody likes me everybody hates me think I'll go eat|worms;
;Bestiary questions - Copycat - Job;Up your nose with a rubber hose;Up your nose with a rubber hose;
;Bestiary questions - Copycat - Secret shame;So funny I forgot to laugh;So funny I forgot to laugh;
;Bestiary questions - Copycat - Reason for entering the dungeons;I don't shut up, I grow up, and when I look at you I|throw up;I don't shut up, I grow up, and when I look at you I|throw up;
;Bestiary questions - Skeleton - Hobbies;Jigsaw puzzles;Jigsaw puzzles;
;Bestiary questions - Skeleton - Childhood pet;Two little skeleton hamsters, Tibia and Fibula;Two little skeleton hamsters, Tibia and Fibula;
;Bestiary questions - Skeleton - Secret shame;Lost my right ring finger bone many years ago, and|replaced it with a painted cotton bud;Lost my right ring finger bone many years ago, and|replaced it with a painted cotton bud;
;Bestiary questions - Skeleton - Reason for entering the dungeons;Wanted just one day as a fleshy being, able to feel|and taste and ache;Wanted just one day as a fleshy being, able to feel|and taste and ache;
;Bestiary questions - Handyman - Hobbies;Mountain biking, knitting;Mountain biking, knitting;
;Bestiary questions - Handyman - Favourite book;Pride and Prejudice;Pride and Prejudice;
;Bestiary questions - Handyman - Six things you couldn't live without;My left hand, my other left hand, my other other|left hand, my right hand, a good solid wrench, and|an electric drill. You thought I was just gonna name|all my hands, didn't you? Nah, I'm left-handed, two|of the righties could go, no problem!;My left hand, my other left hand, my other other|left hand, my right hand, a good solid wrench, and|an electric drill. You thought I was just gonna name|all my hands, didn't you? Nah, I'm left-handed, two|of the righties could go, no problem!;
;Bestiary questions - Handyman - Reason for entering the dungeons;A lifetime supply of free gloves;A lifetime supply of free gloves;
;Bestiary questions - Sorceress - Childhood pet;a stuffed alligator and three cats;a stuffed alligator and three cats;
;Bestiary questions - Sorceress - Likes;sorcery, not talking to you;sorcery, not talking to you;
;Bestiary questions - Sorceress - Dislikes;this;this;
;Bestiary questions - Sorceress - Favourite book;the internet;the internet;
;Bestiary questions - Sorceress - Reason for entering the dungeons;none of your business;none of your business;
;Bestiary questions - Fireman - Favourite food;Ice cream;Ice cream;
;Bestiary questions - Fireman - Hobbies;Reading, woodwork, skiing;Reading, woodwork, skiing;
;Bestiary questions - Fireman - Greatest fear;Destroying that which I love;Destroying that which I love;
;Bestiary questions - Fireman - Reason for entering the dungeons;Wanted to not be on fire;Wanted to not be on fire;
;Bestiary questions - Snowman - Turn-ons;The crackle of a bonfire in a snowy field on New|Year's Eve, the flickering silhouette of trees on the|horizon;The crackle of a bonfire in a snowy field on New|Year's Eve, the flickering silhouette of trees on the|horizon;
;Bestiary questions - Snowman - Turn-offs;I don't understand the question;I don't understand the question;
;Bestiary questions - Snowman - Hobbies;I tried listing these before but apparently they're|[quote]not suitable for the public[quote]?;I tried listing these before but apparently they're|[quote]not suitable for the public[quote]?;
;Bestiary questions - Snowman - Reason for entering the dungeons;Seeking my one true love, who entered before me|and never returned;Seeking my one true love, who entered before me|and never returned;
;Bestiary questions - Rat King - Greatest fear;The Rat King knows no fear!;The Rat King knows no fear!;
;Bestiary questions - Rat King - Childhood pet;Other, much smaller, rats;Other, much smaller, rats;
;Bestiary questions - Rat King - Reason for entering the dungeons;Wanted to find new rats to conquer;Wanted to find new rats to conquer;
;Bestiary questions - Kraken - Favourite food;FAINTEST SUNLIGHTS;FAINTEST SUNLIGHTS;
;Bestiary questions - Kraken - Childhood pet;POLYPS;POLYPS;
;Bestiary questions - Kraken - Favourite book;The collected works of Alfred, Lord Tennyson;The collected works of Alfred, Lord Tennyson;
;Bestiary questions - Kraken - Reason for entering the dungeons;Wanted some UNINVADED SLEEP which obviously is|not going to be an OPTION;Wanted some UNINVADED SLEEP which obviously is|not going to be an OPTION;
;Bestiary questions - Haunted Jar - Favourite food;.........with truffle...;.........with truffle...;
;Bestiary questions - Haunted Jar - Hobbies;......, lurking, ...;......, lurking, ...;
;Bestiary questions - Haunted Jar - Karaoke go-to;... in the ...;... in the ...;
;Bestiary questions - Haunted Jar - Reason for entering the dungeons;...........................;...........................;
;Bestiary questions - Cactus - Childhood pet;I never had a pet but I guess I used to collect tiny|pebbles and give them names;I never had a pet but I guess I used to collect tiny|pebbles and give them names;
;Bestiary questions - Cactus - Secret shame;I try very hard to seem brave but really I'm SO|worried about whether I'm good at fighting or not;I try very hard to seem brave but really I'm SO|worried about whether I'm good at fighting or not;
;Bestiary questions - Cactus - Karaoke go-tos;Well, anything by Lizzo really helps me feel more|confident!;Well, anything by Lizzo really helps me feel more|confident!;
;Bestiary questions - Cactus - Reason for entering the dungeons;I wanted to push myself to conquer my fears. It's|been okay, I guess? Yeah, I can do it!;I wanted to push myself to conquer my fears. It's|been okay, I guess? Yeah, I can do it!;
;Bestiary questions - Gargoyle - Favourite food;(raindrops on roses and whiskers on kittens);(raindrops on roses and whiskers on kittens);
;Bestiary questions - Gargoyle - Greatest fear;(turning into flesh);(turning into flesh);
;Bestiary questions - Gargoyle - Likes;(sitting still while birds build a nest behind my ears|and then picking it up and throwing it onto the|ground, hee hee);(sitting still while birds build a nest behind my ears|and then picking it up and throwing it onto the|ground, hee hee);
;Bestiary questions - Gargoyle - Reason for entering the dungeons;(I can make so many people sad down here);(I can make so many people sad down here);
;Bestiary questions - Pirate - Favourite food;Parrots and pieces of eight! Delicious!;Parrots and pieces of eight! Delicious!;
;Bestiary questions - Pirate - Greatest fear;A pirate knows no fear, arrr!;A pirate knows no fear, arrr!;
;Bestiary questions - Pirate - Favourite Book;The Art of W-arrrr;The Art of W-arrrr;
;Bestiary questions - Pirate - Karaoke go-to;[quote]Bad Guy[quote]. After all, I *am* the bad guy;[quote]Bad Guy[quote]. After all, I *am* the bad guy;
;Bestiary questions - Pirate - Reason for entering the dungeons;Got lost on the way to Davey Jones's Locker;Got lost on the way to Davey Jones's Locker;
;Bestiary questions - Cornelius - Favourite food;The souls of the unworthy;The souls of the unworthy;
;Bestiary questions - Cornelius - Dislikes;Mushrooms, walnuts, the laughter of small children;Mushrooms, walnuts, the laughter of small children;
;Bestiary questions - Cornelius - Karaoke go-to;Careless Whisper;Careless Whisper;
;Bestiary questions - Cornelius - Favourite book;The Road;The Road;
;Bestiary questions - Cornelius - Reason for entering the dungeons;In an eternity of existence, eventually one must|walk every path;In an eternity of existence, eventually one must|walk every path;
;Bestiary questions - Paper Knight - Greatest fear;The big dragon in the basement;The big dragon in the basement;
;Bestiary questions - Paper Knight - Likes;Climbing on things, crayons, cats, singing;Climbing on things, crayons, cats, singing;
;Bestiary questions - Paper Knight - Dislikes;My brothers and my sisters and YOU!;My brothers and my sisters and YOU!;
;Bestiary questions - Paper Knight - Reason for entering the dungeons;To go on an amazing adventure on my own. It's|been GREAT;To go on an amazing adventure on my own. It's|been GREAT;
;Bestiary questions - Beatrice - Favourite food;I sup on only the finest royal jelly;I sup on only the finest royal jelly;
;Bestiary questions - Beatrice - Secret shame;Oh, honey, I'm not ashamed of ANY of my secrets,|I promise you;Oh, honey, I'm not ashamed of ANY of my secrets,|I promise you;
;Bestiary questions - Beatrice - Karaoke go-to;Dancing Queen;Dancing Queen;
;Bestiary questions - Beatrice - Reason for entering the dungeons;I cherish powerful women. And Lady Luck was the|only woman I could find who was more powerful|than me;I cherish powerful women. And Lady Luck was the|only woman I could find who was more powerful|than me;
;Bestiary questions - Madison - Favourite food;Non-trademark-infringing mint cookies;Non-trademark-infringing mint cookies;
;Bestiary questions - Madison - Happiest moment;Getting accepted to go on Dicey Dungeons;Getting accepted to go on Dicey Dungeons;
;Bestiary questions - Madison - Karaoke go-to;[quote]Get Lucky[quote];[quote]Get Lucky[quote];
;Bestiary questions - Madison - Reason for entering the dungeons;To learn to be like my idol, Lady Luck;To learn to be like my idol, Lady Luck;
;Bestiary questions - Buster - Likes;You! You're great!;You! You're great!;
;Bestiary questions - Buster - Happiest moment;The first time I flew! Flying is so much fun!;The first time I flew! Flying is so much fun!;
;Bestiary questions - Buster - Six things you couldn't live without;Coal, sleeping, flying, sleeping, zzZZZzz, ZZZZZzz;Coal, sleeping, flying, sleeping, zzZZZzz, ZZZZZzz;
;Bestiary questions - Buster - Reason for entering the dungeons;ZZZZzzzzz zzz;ZZZZzzzzz zzz;
;Bestiary questions - Audrey - Favourite food;Protein shakes all the way!;Protein shakes all the way!;
;Bestiary questions - Audrey - Hobbies;Deadlifting, bench presses, pilates, HIIT, kettlebells;Deadlifting, bench presses, pilates, HIIT, kettlebells;
;Bestiary questions - Audrey - Karaoke go-to;[quote]Flashdance... What A Feeling[quote];[quote]Flashdance... What A Feeling[quote];
;Bestiary questions - Audrey - Reason for entering the dungeons;I wanted a challenge to help me keep motivated!;I wanted a challenge to help me keep motivated!;
;Bestiary questions - Aoife - Favourite food;I will eat only when all my enemies lie defeated|before me;I will eat only when all my enemies lie defeated|before me;
;Bestiary questions - Aoife - Hobbies;Winning;Winning;
;Bestiary questions - Aoife - Favourite book;My list of people to take vengeance upon;My list of people to take vengeance upon;
;Bestiary questions - Aoife - Karaoke go-to;Bad Blood;Bad Blood;
;Bestiary questions - Aoife - Reason for entering the dungeons;Wanted the chance to wreak vengeance upon all|who have wronged me;Wanted the chance to wreak vengeance upon all|who have wronged me;
;Bestiary questions - Drake - Favourite food;Human blood, duh;Human blood, duh;
;Bestiary questions - Drake - Childhood pet;A fruitbat named Rochester;A fruitbat named Rochester;
;Bestiary questions - Drake - Secret shame;...sometimes I eat garlic bread, even though it|makes me sleepy and gives me an upset stomach|the next day;...sometimes I eat garlic bread, even though it|makes me sleepy and gives me an upset stomach|the next day;
;Bestiary questions - Drake - Reason for entering the dungeons;To avoid the sunlight? Obviously? Haven't you read|about me?;To avoid the sunlight? Obviously? Haven't you read|about me?;
;Bestiary questions - Sticky Hands - Favourite food;Candy from a baby;Candy from a baby;
;Bestiary questions - Sticky Hands - Hobbies;Yo-yo, football and hiding plastic spiders in your|sandwich;Yo-yo, football and hiding plastic spiders in your|sandwich;
;Bestiary questions - Sticky Hands - Happiest moment;Tricked Lady Luck into sitting on a whoopee cushion;Tricked Lady Luck into sitting on a whoopee cushion;
;Bestiary questions - Sticky Hands - Reason for entering the dungeons;Wanted to win a big bottle of sneezing powder;Wanted to win a big bottle of sneezing powder;
;Bestiary questions - Marshmallow - Favourite food;That's a VERY rude thing to ask a marshmallow;That's a VERY rude thing to ask a marshmallow;
;Bestiary questions - Marshmallow - Hobbies;Camping, telling ghost stories;Camping, telling ghost stories;
;Bestiary questions - Marshmallow - Favourite book;The Song of Ice and Fire series and no I DIDN'T|watch the tv show, the books are MUCH BETTER|actually;The Song of Ice and Fire series and no I DIDN'T|watch the tv show, the books are MUCH BETTER|actually;
;Bestiary questions - Marshmallow - Reason for entering the dungeons;Good sick pay and a company campfire;Good sick pay and a company campfire;
;Bestiary questions - Stereohead - Greatest fear;My batteries running out;My batteries running out;
;Bestiary questions - Stereohead - Secret shame;...Sometimes when I'm alone I have to put a pen|into my face and twiddle my tape back in;...Sometimes when I'm alone I have to put a pen|into my face and twiddle my tape back in;
;Bestiary questions - Stereohead - Reason for entering the dungeons;The acoustics down here are SO good, plus I really|love the sax music they play sometimes;The acoustics down here are SO good, plus I really|love the sax music they play sometimes;
;Bestiary questions - Wizard - Hobbies;Jigsaw puzzles based on photographs of other|jigsaw puzzles;Jigsaw puzzles based on photographs of other|jigsaw puzzles;
;Bestiary questions - Wizard - Six things you couldn't live without;Cryptic crosswords, my favourite fountain pen, a|double espresso at 8am in the morning, a chocolate|digestive at 3pm, library membership, and honestly|with those five I don't need anything else;Cryptic crosswords, my favourite fountain pen, a|double espresso at 8am in the morning, a chocolate|digestive at 3pm, library membership, and honestly|with those five I don't need anything else;
;Bestiary questions - Wizard - Reason for entering the dungeons;It seemed a remarkable place to explore. And it is!;It seemed a remarkable place to explore. And it is!;
;Bestiary questions - Sneezy - Favourite food;I try eating local honey, because it's meant to be|good for allergies, but there's only one bee in the|Dungeons so there's not much honey to go round;I try eating local honey, because it's meant to be|good for allergies, but there's only one bee in the|Dungeons so there's not much honey to go round;
;Bestiary questions - Sneezy - Childhood pet;I had so many pets! I wasn't allergic to any of them!;I had so many pets! I wasn't allergic to any of them!;
;Bestiary questions - Sneezy - Reason for entering the dungeons;I sunburn SO easily that my nickname used to be|[quote]Burny[quote]. I THOUGHT coming in here would be great.|I thought it would keep me out of the sun;I sunburn SO easily that my nickname used to be|[quote]Burny[quote]. I THOUGHT coming in here would be great.|I thought it would keep me out of the sun;
;Bestiary questions - Keymaster - Favourite food;Artichoke, pomegranate, coconut;Artichoke, pomegranate, coconut;
;Bestiary questions - Keymaster - Karaoke go-to;[quote]Locked Out of Heaven[quote];[quote]Locked Out of Heaven[quote];
;Bestiary questions - Keymaster - Six things you couldn't live without;Ball pick, decoder pick, half-diamond pick, hook pick,|rake pick, tension wrench;Ball pick, decoder pick, half-diamond pick, hook pick,|rake pick, tension wrench;
;Bestiary questions - Keymaster - Reason for entering the dungeons;Where are you gonna find better locks to unpick|than a real live dungeon?;Where are you gonna find better locks to unpick|than a real live dungeon?;
;Bestiary questions - Bully - Hobbies;Throwing rocks;Throwing rocks;
;Bestiary questions - Bully - Greatest fear;Running out of rocks;Running out of rocks;
;Bestiary questions - Bully - Reason for entering the dungeons;Regular supply of rocks;Regular supply of rocks;
;Bestiary questions - Dire Wolf - Favourite food;Adventurers;Adventurers;
;Bestiary questions - Dire Wolf - Karaoke go-tos;You know, people always expect me to sing|Shakira's [quote]She-Wolf[quote], but I prefer [quote]Hips Don't Lie[quote];You know, people always expect me to sing|Shakira's [quote]She-Wolf[quote], but I prefer [quote]Hips Don't Lie[quote];
;Bestiary questions - Dire Wolf - Reason for entering the dungeons;Well my kid ran down here and I thought I probably|shouldn't just leave him alone for ever;Well my kid ran down here and I thought I probably|shouldn't just leave him alone for ever;
;Bestiary questions - Yeti - Likes;Very little;Very little;
;Bestiary questions - Yeti - Dislikes;Almost everything;Almost everything;
;Bestiary questions - Yeti - Karaoke go-tos;Honestly karaoke sucks, go embarrass yourself in|the privacy of your own home;Honestly karaoke sucks, go embarrass yourself in|the privacy of your own home;
;Bestiary questions - Yeti - Reason for entering the dungeons;Well, when I first came down here it was way more|interesting, but I guess now they let anyone in;Well, when I first came down here it was way more|interesting, but I guess now they let anyone in;
;Bestiary questions - Wicker Man - Greatest fear;Mildew;Mildew;
;Bestiary questions - Wicker Man - Childhood pet;A stick insect named Sticky;A stick insect named Sticky;
;Bestiary questions - Wicker Man - Reason for entering the dungeons;Thought it might be a voyage of self-discovery that|would help me to understand who my true self|really is, under all the endlessly shifting wicker;Thought it might be a voyage of self-discovery that|would help me to understand who my true self|really is, under all the endlessly shifting wicker;
;Bestiary questions - Warlock - Favourite food;Nightingale tongues;Nightingale tongues;
;Bestiary questions - Warlock - Job;Conjuring the unseen;Conjuring the unseen;
;Bestiary questions - Warlock - Karaoke go-to;O Fortuna;O Fortuna;
;Bestiary questions - Warlock - Reason for entering the dungeons;Wanted the power to command the winds and rains|and the empty spaces of the world, also a toaster;Wanted the power to command the winds and rains|and the empty spaces of the world, also a toaster;
;Bestiary questions - Bounty Hunter - Greatest fear;Being sent back to Planet X-av-5guu;Being sent back to Planet X-av-5guu;
;Bestiary questions - Bounty Hunter - Likes;Motorbikes, soft delicious Earth food;Motorbikes, soft delicious Earth food;
;Bestiary questions - Bounty Hunter - Karaoke go-tos;[quote]From A Distance[quote];[quote]From A Distance[quote];
;Bestiary questions - Bounty Hunter - Reason for entering the dungeons;To win a lifetime's supply of apricots;To win a lifetime's supply of apricots;
;Bestiary questions - Scathach - Favourite food;Blueberry pancakes;Blueberry pancakes;
;Bestiary questions - Scathach - Karaoke go-to;Sorry Not Sorry;Sorry Not Sorry;
;Bestiary questions - Scathach - Six things you couldn't live without;The shadow, the storm, the ashes, the wind, the|cold, and the creeping fog;The shadow, the storm, the ashes, the wind, the|cold, and the creeping fog;
;Bestiary questions - Scathach - Reason for entering the dungeons;Well, it has a whole lot of shadows, storms, creeping|fog, ashes, wind and cold;Well, it has a whole lot of shadows, storms, creeping|fog, ashes, wind and cold;
;Bestiary questions - Drain Monster - Favourite food;Warm fresh dishwater;Warm fresh dishwater;
;Bestiary questions - Drain Monster - Hobbies;Lurking in the drains and making gurgle noises to|scare kids in the bath;Lurking in the drains and making gurgle noises to|scare kids in the bath;
;Bestiary questions - Drain Monster - Happiest moment;A childhood trip to the water park;A childhood trip to the water park;
;Bestiary questions - Drain Monster - Karaoke go-tos;TLC's [quote]Waterfalls[quote];TLC's [quote]Waterfalls[quote];
;Bestiary questions - Drain Monster - Reason for entering the dungeons;Got carried along the drains in a storm;Got carried along the drains in a storm;
;Bestiary questions - Cowboy - Job;Well I think it's pretty clear I'm a cowboy! I'm a cat|too, but that's more of a hobby;Well I think it's pretty clear I'm a cowboy! I'm a cat|too, but that's more of a hobby;
;Bestiary questions - Cowboy - Greatest fear;I do worry that I might meet a cowboy who's a dog;I do worry that I might meet a cowboy who's a dog;
;Bestiary questions - Cowboy - Favourite book;Well I'm a cat so I can't read, but I love to sit on a|newspaper every now and then;Well I'm a cat so I can't read, but I love to sit on a|newspaper every now and then;
;Bestiary questions - Cowboy - Reason for entering the dungeons;It started as a weekend job between ranches but|I've grown to love it;It started as a weekend job between ranches but|I've grown to love it;
;Bestiary questions - Aurora - Reason for entering the dungeons;I mean, to stop climate change, of course. Wait,|isn't that why everyone's here? Do you all have|other wishes? That seems... irresponsible under the|circumstances, I'll be honest.;I mean, to stop climate change, of course. Wait,|isn't that why everyone's here? Do you all have|other wishes? That seems... irresponsible under the|circumstances, I'll be honest.;
;Bestiary questions - Wisp - Greatest fear;Snails;Snails;
;Bestiary questions - Wisp - Likes;Rollercoasters;Rollercoasters;
