Changed?,String,String_uk,Location,Notes,
,Finished all the quests? Congratulations! More coming soon!|In the meantime[;] try the original [yellow]Hard Mode[].,Finished all the quests? Congratulations! More coming soon!|In the meantime[;] try the original [yellow]Hard Mode[].,Quests,Temporary quest description,
,Standard Rules.,Standard Rules.,Quests,Rule description,
,Start with two upgraded [yellow]Ray Guns[].,Start with two upgraded [yellow]Ray Guns[].,Quests,Rule description,
,[100%]All equipment you find is upgraded.,[100%]All equipment you find is upgraded.,Quests,Rule description,
,Inflicted with [curse]Curse[] at the start of every turn.,Inflicted with [curse]Curse[] at the start of every turn.,Quests,Rule description,
,Start with two [yellow]Blood Sucks[].,Start with two [yellow]Blood Sucks[].,Quests,Rule description,
,Lose [heart]2[] max hp when you level up.,Lose [heart]2[] max hp when you level up.,Quests,Rule description,
,Choose one piece of enemy equipment to keep after each turn.,Choose one piece of enemy equipment to keep after each turn.,Quests,Rule description,
,On your first turn[;] all dice rolls are 1. Second turn[;] all 2[;] and so on.,On your first turn[;] all dice rolls are 1. Second turn[;] all 2[;] and so on.,Quests,Rule description,
,Calculate button disappears when you use any piece of equipment.,Calculate button disappears when you use any piece of equipment.,Quests,Rule description,
,No CPU counter. Create any dice you like!,No CPU counter. Create any dice you like!,Quests,Rule description,
,Equipment randomly disappears for the turn as you create dice.,Equipment randomly disappears for the turn as you create dice.,Quests,Rule description,
,Find extra equipment.,Find extra equipment.,Quests,Rule description,
,Make twice as many gadgets.,Make twice as many gadgets.,Quests,Rule description,
,Don't create gadgets after each fight.,Don't create gadgets after each fight.,Quests,Rule description,
,All equipment breaks after 4 uses.,All equipment breaks after 4 uses.,Quests,Rule description,
,Broken equipment immediately becomes a gadget.,Broken equipment immediately becomes a gadget.,Quests,Rule description,
,One spell slot contains a completely random spell each turn.,One spell slot contains a completely random spell each turn.,Quests,Rule description,
,Your first dice roll is always a 6[;] the second a 5[;] etc.,Your first dice roll is always a 6[;] the second a 5[;] etc.,Quests,Rule description,
,Enemies get 20% extra health.,Enemies get 20% extra health.,Quests,Rule description,
,[100%]All enemy equipment is upgraded.,[100%]All enemy equipment is upgraded.,Quests,Rule description,
,Congratulations! Quest complete!,Congratulations! Quest complete!,Quests,,
,This quest isn't ready yet. Check back in a later version!,This quest isn't ready yet. Check back in a later version!,Quests,,
,Jester will return in v0.16!,Jester will return in v0.16!,Character Selection,,
,(You can press TAB at any time to switch between {selectedlanguage} and English. Feedback welcome!),(You can press TAB at any time to switch between {selectedlanguage} and English. Feedback welcome!),Language Selection,,
,The shopkeeper takes a look at your equipment.,The shopkeeper takes a look at your equipment.,Trading Post,,
,She wants to make a trade!,She wants to make a trade!,Trading Post,,
,The shopkeeper laughs.,The shopkeeper laughs.,Trading Post,,
,I knew you'd be back!,I knew you'd be back!,Trading Post,,
,Deal!,Deal!,Trading Post,,
,No deal,No deal,Trading Post,,
,Your [yellow]{youritem}[][;] for her [yellow]{theiritem}[]. Deal?,Your [yellow]{youritem}[][;] for her [yellow]{theiritem}[]. Deal?,Trading Post,,
,[quote]I'm here to have fun|and fight monsters!||Back home[;] I love|working out[;] long walks|on the beach[;] and|working out![quote],[quote]I'm here to have fun|and fight monsters!||Back home[;] I love|working out[;] long walks|on the beach[;] and|working out![quote],Character Selection,Warrior intro text,
,[quote]Why am I here?|I'm here to win.||Everyone else is too[;]|of course - they're|just lying about it.[quote],[quote]Why am I here?|I'm here to win.||Everyone else is too[;]|of course - they're|just lying about it.[quote],Character Selection,Thief intro text,
,[quote]BEEP BOOP[;] HUMANS!||Haha[;] just joking[;] I can|definitely talk. I'm a|risk-taker with a taste|for adventure and|machine oil![quote],[quote]BEEP BOOP[;] HUMANS!||Haha[;] just joking[;] I can|definitely talk. I'm a|risk-taker with a taste|for adventure and|machine oil![quote],Character Selection,Robot intro text,
,[quote]Oh wow[;] how do you get|the spotlight to do that|neat swinging thing?||Oops[;] sorry[;] I mean[;]|thanks for having me|on the show![quote],[quote]Oh wow[;] how do you get|the spotlight to do that|neat swinging thing?||Oops[;] sorry[;] I mean[;]|thanks for having me|on the show![quote],Character Selection,Inventor intro text,
,[quote]Hey[;] everyone! I'm so|thrilled to be going on|this amazing adventure|with you.||Don't forget to follow|me for updates![quote],[quote]Hey[;] everyone! I'm so|thrilled to be going on|this amazing adventure|with you.||Don't forget to follow|me for updates![quote],Character Selection,Witch intro text,
,[quote]I've turned on my|former boss[;] Lady Luck|herself[;] and joined a|hapless band of dice|people.||I have no regrets![quote],[quote]I've turned on my|former boss[;] Lady Luck|herself[;] and joined a|hapless band of dice|people.||I have no regrets![quote],Character Selection,Jester intro text,
,Rules,Rules,Quests,Header text on rule description,
,Quit,Quit,Title Screen,,
,Enemy Moves,Enemy Moves,Combat,Button to preview enemy equipment,
,End Preview,End Preview,Combat,Button to end enemy equipment preview phase,
,Start Windowed,Start Windowed,Language Selection,,
,Start Fullscreen,Start Fullscreen,Language Selection,,
,(Esc) Settings,(Esc) Settings,Title Screen,,
,Wins: <victorycount>,Wins: <victorycount>,Character Selection,Number of times you've beaten the selected episode,
,incomplete,incomplete,Character Selection,Displayed if you have not beaten the selected episode,
,Episodes,Episodes,Character Selection,Header text on episode list,
,Start with two upgraded [yellow]Battle Axes[].,Start with two upgraded [yellow]Battle Axes[].,Episode Selection,Updated episode rules,
,Start with a [yellow]Venus Fly Trap[].,Start with a [yellow]Venus Fly Trap[].,Episode Selection,Updated episode rules,
,Missing: Lose [heart]2[] max hp when you level up.,Missing: Lose [heart]2[] max hp when you level up.,Episode Selection,Updated episode rules,
,This episode isn't ready yet. Check back in a later version!,This episode isn't ready yet. Check back in a later version!,Episode Selection,Updated episode rules,
,When you create a dice[;] there is a 50% chance that equipment will randomly disappear.,When you create a dice[;] there is a 50% chance that equipment will randomly disappear.,Episode Selection,Updated episode rules,
,Start with double equipment[;] and upgraded [yellow]Hammers[].,Start with double equipment[;] and upgraded [yellow]Hammers[].,Episode Selection,Updated episode rules,
,All equipment is reuseable.,All equipment is reuseable.,Episode Selection,Updated episode rules,
,Start with a [yellow]Bumpblade[].,Start with a [yellow]Bumpblade[].,Episode Selection,Updated episode rules,
,New [yellow]Delete[] skills destroys cards permanently.,New [yellow]Delete[] skills destroys cards permanently.,Episode Selection,Updated episode rules,
,After defeating an enemy[;] keep all of their equipment.,After defeating an enemy[;] keep all of their equipment.,Episode Selection,Updated episode rules,
,You can no longer see what cards are coming up next.,You can no longer see what cards are coming up next.,Episode Selection,Updated episode rules,
,Have four cards in your hand instead of three.,Have four cards in your hand instead of three.,Episode Selection,Updated episode rules,
,Settings,Settings,Settings Menu,,
,Main volume:,Main volume:,Settings Menu,,
,Music volume:,Music volume:,Settings Menu,,
,SFX volume:,SFX volume:,Settings Menu,,
,F12: Take Screenshot,F12: Take Screenshot,Settings Menu,,
,Fullscreen,Fullscreen,Settings Menu,,
,Windowed,Windowed,Settings Menu,,
,Use HD sprites,Use HD sprites,Settings Menu,,
,Close options,Close options,Settings Menu,,
,Reset Progress,Reset Progress,Settings Menu,,
,Combat Animation: Very Fast,Combat Animation: Very Fast,Settings Menu,,
,Combat Animation: Fast,Combat Animation: Fast,Settings Menu,,
,Combat Animation: Medium,Combat Animation: Medium,Settings Menu,,
,Combat Animation: Slow,Combat Animation: Slow,Settings Menu,,
,Next Level:,Next Level:,Level up,,
,Choose a reward!,Choose a reward!,Level up,,
,(add to Backpack),(add to Backpack),Collecting equipment,Shown under collect button if something will be added to the backpack,
,Congratulations! Episode complete!,Congratulations! Episode complete!,Game Complete,,
,Finders Keepers! Choose one piece of equipment to keep:,Finders Keepers! Choose one piece of equipment to keep:,Finders Keepers,,
,Finders Keepers! All enemy equipment is added to your deck!,Finders Keepers! All enemy equipment is added to your deck!,Finders Keepers,,
,{odds}% of rolls cause errors,{odds}% of rolls cause errors,You Choose You Lose,,
,Mouse over,Mouse over,Witch Spellbook,,
,to preview,to preview,Witch Spellbook,,
,SPELL SLOTS,SPELL SLOTS,Witch Spellbook,,
,Your prepared spells will be ready to use at the beginning of the battle,Your prepared spells will be ready to use at the beginning of the battle,Witch Spellbook,,
,SPELLBOOK,SPELLBOOK,Witch Spellbook,,
,Spells in the spellbook can be prepared during battle by playing,Spells in the spellbook can be prepared during battle by playing,Witch Spellbook,,
,dice corresponding to the spell on the spellbook,dice corresponding to the spell on the spellbook,Witch Spellbook,,
,Select a spell,Select a spell,Witch Spellbook,,
,to replace,to replace,Witch Spellbook,,
,Discard,Discard,Jester Combat,,
,Discard matching cards,Discard matching cards,Jester Combat,,
,Activate matching cards,Activate matching cards,Jester Combat,,
,{boosterpack} PACK,{boosterpack} PACK,Jester Level up,Offered a boosterpack eg DETONATOR PACK,
,{boosterpack} and 2x {supportcards},{boosterpack} and 2x {supportcards},Jester Level up,eg ICE SHATTER and 2x SNOWFLAKE,
,FINALE CARD,FINALE CARD,Jester Combat,,
,Play every card in a,Play every card in a,Jester Combat,,
,single turn to use,single turn to use,Jester Combat,,
,[gray][medium](ready in {limitbreakhp} hp)[],[gray][medium](ready in {limitbreakhp} hp)[],Limit Break,,
,[yellow]Ready to use[],[yellow]Ready to use[],Limit Break,,
,Welsh,Welsh,Language,as it would appear in a language selection menu,
,No effect,No effect,Equipment,Appears in description if equipment does nothing when used,
,[gray](Reuseable),[gray](Reuseable),Equipment,Appears in description if equipment is reuseable,
,[gray](once per battle),[gray](once per battle),Equipment,Appears in description if equipment is once per battle only,
,Unavailable,Unavailable,Combat,Displayed on equipment that cannot be used this turn,
,Needs a 1!,Needs a 1!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 2 or less!,Needs a 2 or less!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 3 or less!,Needs a 3 or less!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 4 or less!,Needs a 4 or less!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 5 or less!,Needs a 5 or less!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 2 or more!,Needs a 2 or more!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 3 or more!,Needs a 3 or more!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 4 or more!,Needs a 4 or more!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 5 or more!,Needs a 5 or more!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 2 or 3!,Needs 2 or 3!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 2[;] 3[;] or 4!,Needs 2[;] 3[;] or 4!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 2[;] 3[;] 4 or 5!,Needs 2[;] 3[;] 4 or 5!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 3 or 4!,Needs 3 or 4!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 3[;] 4 or 5!,Needs 3[;] 4 or 5!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 4 or 5!,Needs 4 or 5!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,1[;] 3 or 5 only!,1[;] 3 or 5 only!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,2[;] 4 or 6 only!,2[;] 4 or 6 only!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 1!,Needs a 1!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 2!,Needs a 2!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 3!,Needs a 3!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 4!,Needs a 4!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 5!,Needs a 5!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 6!,Needs a 6!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,Dice doesn't fit!,Dice doesn't fit!,Equipment,Displayed if a dice doesn't fit in a dice slot,
,is immune to lock and freeze,is immune to lock and freeze,Combat,Innate text,
,changes equipment every turn,changes equipment every turn,Combat,Innate text,
,copies your equipment,copies your equipment,Combat,Innate text,
,Frozen,Frozen,Status Effect,Damaged by an ice spell - causes your dice to turn into 1s,
,Turns the highest dice rolled into a 1.,Turns the highest dice rolled into a 1.,Status Effect,Tooltip for Freeze,
,Frozen?,Frozen?,Status Effect,Name for Parallel Universe mode Freeze,
,Reduce all dice values by <value>.,Reduce all dice values by <value>.,Status Effect,Tooltip for Parallel Universe mode Freeze,
,Burn,Burn,Status Effect,Using a burnt dice damages you,
,Sets the next dice on fire. Costs [heart]2[] hp to extinguish.,Sets the next dice on fire. Costs [heart]2[] hp to extinguish.,Status Effect,Tooltip for Burn,
,Burn?,Burn?,Status Effect,Name for Parallel Universe mode Burn,
,"Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn. ","Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn. ",Status Effect,Tooltip for Parallel Universe mode Burn,
,Shocked,Shocked,Status Effect,Disables equipment at random,
,Temporarily disables random equipment.|Can use a dice to unshock.,Temporarily disables random equipment.|Can use a dice to unshock.,Status Effect,Tooltip for Shock,
,Shocked?,Shocked?,Status Effect,Name for Parallel Universe mode Shocked,
,Temporarily disables random equipment.|Costs [heart]3[] hp to unshock.,Temporarily disables random equipment.|Costs [heart]3[] hp to unshock.,Status Effect,Tooltip for Parallel Universe mode Shocked,
,Weaken,Weaken,Status Effect,Downgrades equipment at random,
,Temporarily weakens random equipment.|Equipment becomes less powerful.,Temporarily weakens random equipment.|Equipment becomes less powerful.,Status Effect,Tooltip for Weaken,
,Weaken?,Weaken?,Status Effect,Name for Parallel Universe mode Weaken,
,Take [sword]<value> extra damage from each attack.|([sword]1 per each point of weaken inflicted.),Take [sword]<value> extra damage from each attack.|([sword]1 per each point of weaken inflicted.),Status Effect,Tooltip for Parallel Universe mode Weaken,
,Silence,Silence,Status Effect,Cannot use character skills or limit breaks,
,Cannot use special character skills or limit breaks.,Cannot use special character skills or limit breaks.,Status Effect,Tooltip for Silence,
,Silence?,Silence?,Status Effect,Name for Parallel Universe mode Silence,
,Limit break is less powerful.,Limit break is less powerful.,Status Effect,Tooltip for Parallel Universe mode Silence,
,Dodge,Dodge,Status Effect,Evade next attack,
,Avoid the next attack.,Avoid the next attack.,Status Effect,Tooltip for Dodge,
,Dodge?,Dodge?,Status Effect,Name for Parallel Universe mode Dodge,
,50% chance to avoid the next attack[;] lasts until|something triggers it.,50% chance to avoid the next attack[;] lasts until|something triggers it.,Status Effect,Tooltip for Parallel Universe mode Dodge,
,Blind,Blind,Status Effect,Hide dice values,
,Cannot see the dice values.,Cannot see the dice values.,Status Effect,Tooltip for Blind,
,Blind?,Blind?,Status Effect,Name for Parallel Universe mode Blind,
,Cannot see remaining health.,Cannot see remaining health.,Status Effect,Tooltip for Parallel Universe mode Blind,
,Poison,Poison,Status Effect,Lose health every turn,
,Lose [heart]<value> health at the start of turn. Pierces shields.|Reduced by 1 on each turn.,Lose [heart]<value> health at the start of turn. Pierces shields.|Reduced by 1 on each turn.,Status Effect,Tooltip for Poison,
,Poison?,Poison?,Status Effect,Name for Parallel Universe mode Poison,
,A random piece of equipment is poisoned. Reduce the|countdown to zero by the end of the turn[;] or take damage.,A random piece of equipment is poisoned. Reduce the|countdown to zero by the end of the turn[;] or take damage.,Status Effect,Tooltip for Parallel Universe mode Poison,
,Fury,Fury,Status Effect,Double next action,
,The next equipment will be used twice.,The next equipment will be used twice.,Status Effect,Tooltip for Fury,
,Fury?,Fury?,Status Effect,Name for Parallel Universe mode Fury,
,The next equipment will be used twice[;] but|cannot be used next turn.,The next equipment will be used twice[;] but|cannot be used next turn.,Status Effect,Tooltip for Parallel Universe mode Fury,
,Cursed,Cursed,Status Effect,Equipment has a 50% chance of failing,
,All equipment has a 50% chance to fail.|Disappears once triggered.,All equipment has a 50% chance to fail.|Disappears once triggered.,Status Effect,Tooltip for Curse,
,Cursed?,Cursed?,Status Effect,Name for Parallel Universe mode Curse,
,All equipment has a 50% chance to switch target.|Disappears once triggered.,All equipment has a 50% chance to switch target.|Disappears once triggered.,Status Effect,Tooltip for Parallel Universe mode Curse,
,Confuse,Confuse,Status Effect,Equipment is mixed-up and obscured,
,Equipment is mixed-up and obscured this turn.,Equipment is mixed-up and obscured this turn.,Status Effect,Tooltip for Confuse,
,Confuse?,Confuse?,Status Effect,Name for Parallel Universe mode Confuse,
,Cannot see the dice values.,Cannot see the dice values.,Status Effect,Tooltip for Parallel Universe mode Confuse,
,Thorns,Thorns,Status Effect,Enemy takes damage if they attack you,
,Enemy takes [sword]<value> damage if they attack this turn.|(1 for each [thorns] thorn.),Enemy takes [sword]<value> damage if they attack this turn.|(1 for each [thorns] thorn.),Status Effect,Tooltip for Thorns,
,Thorns?,Thorns?,Status Effect,Name for Parallel Universe mode Thorns,
,Add +[sword]<value> to all attacks.|([sword]1 for each [thorns] thorn.),Add +[sword]<value> to all attacks.|([sword]1 for each [thorns] thorn.),Status Effect,Tooltip for Parallel Universe mode Thorns,
,Shield,Shield,Status Effect,Block incoming damage,
,Blocks incoming damage.,Blocks incoming damage.,Status Effect,Tooltip for Shield,
,Shield?,Shield?,Status Effect,Name for Parallel Universe mode Shield,
,Restores [heart]<value> health at the start of your next turn.|([shield] disappears after healing.),Restores [heart]<value> health at the start of your next turn.|([shield] disappears after healing.),Status Effect,Tooltip for Parallel Universe mode Shield,
,Survive,Survive,Status Effect,Survive the next fatal blow,
,Survive the next fatal blow.,Survive the next fatal blow.,Status Effect,Tooltip for Survive,
,Survive?,Survive?,Status Effect,Name for Parallel Universe mode Survive,
,Cannot be killed by anything. Counter reduces by one on|each turn. If it reaches zero[;] you die.,Cannot be killed by anything. Counter reduces by one on|each turn. If it reaches zero[;] you die.,Status Effect,Tooltip for Parallel Universe mode Survive,
,Vampire,Vampire,Status Effect,Can only be killed with a wooden stake,
,Can only be killed with a wooden stake.,Can only be killed with a wooden stake.,Status Effect,"Tooltip for Vampire ",
,Vampire?,Vampire?,Status Effect,Name for Parallel Universe mode Vampire,
,Restore all health when defeated[;] once.,Restore all health when defeated[;] once.,Status Effect,Tooltip for Parallel Universe mode Vampire,
,Re-Equip_Next,Re-Equip_Next,Status Effect,Re-equip the next equipment you use,
,The next equipment you use can be used again on this turn.,The next equipment you use can be used again on this turn.,Status Effect,Tooltip for Re-Equip,
,Re-Equip_Next?,Re-Equip_Next?,Status Effect,Name for Parallel Universe mode Re-Equip Next,
,The next dice you use can be used again on this turn.,The next dice you use can be used again on this turn.,Status Effect,Tooltip for Parallel Universe mode Re-Equip Next,
,Reduce by,Reduce by,Status Effect,Evade damage from every attack,
,Reduce_by,Reduce_by,Status Effect,Evade damage from every attack,
,Take less damage from every attack this turn.,Take less damage from every attack this turn.,Status Effect,Tooltip for Reduce By,
,Reduce_by?,Reduce_by?,Status Effect,Name for Parallel Universe mode Reduce By,
,The next dice you use can be used again on this turn.,The next dice you use can be used again on this turn.,Status Effect,Tooltip for Parallel Universe mode Reduce by,
,Locked,Locked,Status Effect,Cannot use a dice,
,Cannot use dice.,Cannot use dice.,Status Effect,Tooltip for Lock,
,Locked?,Locked?,Status Effect,Name for Parallel Universe mode Lock,
,Locked dice need to be used first[;] before you can use any other dice.,Locked dice need to be used first[;] before you can use any other dice.,Status Effect,Tooltip for Parallel Universe mode Lock,
,Dice_Trigger_1,Dice_Trigger_1,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_2,Dice_Trigger_2,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_3,Dice_Trigger_3,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_4,Dice_Trigger_4,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_5,Dice_Trigger_5,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_6,Dice_Trigger_6,Status Effect,You can ignore the _ character here when translating,
,Roll an extra dice next turn if the enemy rolls a 1.,Roll an extra dice next turn if the enemy rolls a 1.,Status Effect,Tooltip for Dice Trigger,
,"Roll an extra dice next turn if the enemy rolls a 2. ","Roll an extra dice next turn if the enemy rolls a 2. ",Status Effect,Tooltip for Dice Trigger,
,"Roll an extra dice next turn if the enemy rolls a 3. ","Roll an extra dice next turn if the enemy rolls a 3. ",Status Effect,Tooltip for Dice Trigger,
,"Roll an extra dice next turn if the enemy rolls a 4. ","Roll an extra dice next turn if the enemy rolls a 4. ",Status Effect,Tooltip for Dice Trigger,
,"Roll an extra dice next turn if the enemy rolls a 5. ","Roll an extra dice next turn if the enemy rolls a 5. ",Status Effect,Tooltip for Dice Trigger,
,"Roll an extra dice next turn if the enemy rolls a 6. ","Roll an extra dice next turn if the enemy rolls a 6. ",Status Effect,Tooltip for Dice Trigger,
,Dice_Trigger_1?,Dice_Trigger_1?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_2?,Dice_Trigger_2?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_3?,Dice_Trigger_3?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_4?,Dice_Trigger_4?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_5?,Dice_Trigger_5?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_6?,Dice_Trigger_6?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Roll an extra 1 next turn if the enemy rolls a 1.,Roll an extra 1 next turn if the enemy rolls a 1.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 2 next turn if the enemy rolls a 2.,Roll an extra 2 next turn if the enemy rolls a 2.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 3 next turn if the enemy rolls a 3.,Roll an extra 3 next turn if the enemy rolls a 3.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 4 next turn if the enemy rolls a 4.,Roll an extra 4 next turn if the enemy rolls a 4.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 5 next turn if the enemy rolls a 5.,Roll an extra 5 next turn if the enemy rolls a 5.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 6 next turn if the enemy rolls a 6.,Roll an extra 6 next turn if the enemy rolls a 6.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Counter_1,Counter_1,Status Effect,You can ignore the _ character here when translating,
,Counter_2,Counter_2,Status Effect,You can ignore the _ character here when translating,
,Counter_3,Counter_3,Status Effect,You can ignore the _ character here when translating,
,Counter_4,Counter_4,Status Effect,You can ignore the _ character here when translating,
,Counter_5,Counter_5,Status Effect,You can ignore the _ character here when translating,
,Counter_6,Counter_6,Status Effect,You can ignore the _ character here when translating,
,All enemy dice that roll 1 are locked.,All enemy dice that roll 1 are locked.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 2 are locked.,All enemy dice that roll 2 are locked.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 3 are locked.,All enemy dice that roll 3 are locked.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 4 are locked.,All enemy dice that roll 4 are locked.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 5 are locked.,All enemy dice that roll 5 are locked.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 6 are locked.,All enemy dice that roll 6 are locked.,Status Effect,Tooltip for Counterspell,
,Counter_1,Counter_1,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_2,Counter_2,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_3,Counter_3,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_4,Counter_4,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_5,Counter_5,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_6,Counter_6,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,All enemy dice that roll 1 must be used first.,All enemy dice that roll 1 must be used first.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 2 must be used first.,All enemy dice that roll 2 must be used first.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 3 must be used first.,All enemy dice that roll 3 must be used first.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 4 must be used first.,All enemy dice that roll 4 must be used first.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 5 must be used first.,All enemy dice that roll 5 must be used first.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 6 must be used first.,All enemy dice that roll 6 must be used first.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,Pierce,Pierce,Status Effect,Ignore enemy shields,
,Next attack ignores shield.,Next attack ignores shield.,Status Effect,Tooltip for Pierce,
,Illuminate,Illuminate,Status Effect,Get extra dice next turn,
,Stash some dice for next turn.,Stash some dice for next turn.,Status Effect,Tooltip for Illuminate and Latern,
,Extraturn,Extraturn,Status Effect,Get an extra turn,
,Take an extra turn.,Take an extra turn.,Status Effect,Tooltip for Extra Turn,
,All equipment becomes reusable.,All equipment becomes reusable.,Status Effect,Tooltip for Recycle,
,Fight!,Fight!,Special Animation,Appears in the sign animation before each fight – we will be creating a custom animation for this!,
,You Win!,You Win!,Special Animation,Appears in the sign animation after each fight – we will be creating a custom animation for this!,
,You Win,You Win,Special Animation,Appears in the sign animation after completing the dungeon – we will be creating a custom animation for this!,
,EXP,EXP,Special Animation,Appears in the sign animation after each fight – we will be creating a custom animation for this!,
,Limit Break,Limit Break,Special Animation,Appears in the animation when limit break is ready – we will be creating a custom animation for this!,
,[quote]I'm here to have fun|and fight monsters!||Back home[;] I love|working out[;] long walks|on the beach[;] and|working out![quote],[quote]I'm here to have fun|and fight monsters!||Back home[;] I love|working out[;] long walks|on the beach[;] and|working out![quote],Character Selection,Warrior intro text (updated!),
,[quote]I'm not here to make|friends. I'm here to win.||Everyone else is too[;]|of course - they're|just lying about it.[quote],[quote]I'm not here to make|friends. I'm here to win.||Everyone else is too[;]|of course - they're|just lying about it.[quote],Character Selection,Thief intro text (updated!),
,[quote]BEEP BOOP[;] HUMANS!||Haha[;] just joking[;] I can|definitely talk. I love|colour-coded to-do|lists and pushing|myself to my limits![quote],[quote]BEEP BOOP[;] HUMANS!||Haha[;] just joking[;] I can|definitely talk. I love|colour-coded to-do|lists and pushing|myself to my limits![quote],Character Selection,Robot intro text (updated!),
,[quote]Oh wow[;] this place is|so cool! The doors!|The spotlights!||Oops[;] sorry[;] I mean[;]|thanks for having me|on the show![quote],[quote]Oh wow[;] this place is|so cool! The doors!|The spotlights!||Oops[;] sorry[;] I mean[;]|thanks for having me|on the show![quote],Character Selection,Inventor intro text (updated!),
,[quote]Hey[;] everyone! I'm|#blessed to be going|on this amazing|adventure with you.||Don't forget to|subscribe for updates![quote],[quote]Hey[;] everyone! I'm|#blessed to be going|on this amazing|adventure with you.||Don't forget to|subscribe for updates![quote],Character Selection,Witch intro text (updated!),
,[quote]I've turned on my|former boss[;] Lady Luck|herself[;] and joined a|hapless band of dice|people.||I have no regrets!|I hope![quote],[quote]I've turned on my|former boss[;] Lady Luck|herself[;] and joined a|hapless band of dice|people.||I have no regrets!|I hope![quote],Character Selection,Jester intro text (updated!),
,[quote]Woah[;] this is|exhausting! It turns|out you CAN get|too much exercise.||But hey[;] fighting|monsters is still fun![quote],[quote]Woah[;] this is|exhausting! It turns|out you CAN get|too much exercise.||But hey[;] fighting|monsters is still fun![quote],Character Selection,Warrior midgame description text,
