Changed?;Location;String;String_uk;
;shop keeper;What are you after? Something shiny, something swooshy, something|that seems useful but isn't? We've got ‘em all!;What are you after? Something shiny, something swooshy, something|that seems useful but isn't? We've got ‘em all!;
;shop keeper;Ah you've just missed out on an amazing little beret.|But we've got plenty of other options in stock!;Ah you've just missed out on an amazing little beret.|But we've got plenty of other options in stock!;
;shop keeper;Have a look around! I just sold the last waffle maker,|but maybe something else will take your fancy?;Have a look around! I just sold the last waffle maker,|but maybe something else will take your fancy?;
;shop keeper;Oh we've just had a delivery of some *very* stylish|scarves - no? Just the fighting stuff? Fair enough!;Oh we've just had a delivery of some *very* stylish|scarves - no? Just the fighting stuff? Fair enough!;
;shop keeper;Can I tempt you with some wooden spoons? An ice-making|machine? No? Wow, you're one single-minded shopper!;Can I tempt you with some wooden spoons? An ice-making|machine? No? Wow, you're one single-minded shopper!;
;shop keeper;Been saving up your gold pieces? Well, you can't take ‘em|with you! Might as well splurge while you can!;Been saving up your gold pieces? Well, you can't take ‘em|with you! Might as well splurge while you can!;
;shop keeper;Hey there! What do you fancy? I'd offer a discount but|honestly the sales targets down here are INTENSE.;Hey there! What do you fancy? I'd offer a discount but|honestly the sales targets down here are INTENSE.;
;shop keeper;"So good to see you! Come in, come in! Did you sign|up to our loyalty card scheme yet? ";"So good to see you! Come in, come in! Did you sign|up to our loyalty card scheme yet? ";
;shop keeper;Need a carrier bag? Oh! You brought a backpack? That's|well prepared AND environmentally friendly!;Need a carrier bag? Oh! You brought a backpack? That's|well prepared AND environmentally friendly!;
;shop keeper;"We've just had a delivery of fresh carrots from the Gardener! Great for helping|you see down here! What? The show's well lit? Maybe next time then! ";"We've just had a delivery of fresh carrots from the Gardener! Great for helping|you see down here! What? The show's well lit? Maybe next time then! ";
;shop keeper;I've been working on a new slogan for the shop: [quote]Spend your coins|here - there's literally nowhere else![quote] What do you think?;I've been working on a new slogan for the shop: [quote]Spend your coins|here - there's literally nowhere else![quote] What do you think?;
;shop keeper;I'm so glad to see you! I'm stuck on a crossword clue.|[quote]Underground prison[quote], 7 letters starting with D. Any idea?;I'm so glad to see you! I'm stuck on a crossword clue.|[quote]Underground prison[quote], 7 letters starting with D. Any idea?;
;shop keeper;Oh! You're just in time! I'm about to unveil our new cheese|counter - care for a sample? It's.... un-BRIE-lievable!;Oh! You're just in time! I'm about to unveil our new cheese|counter - care for a sample? It's.... un-BRIE-lievable!;
;shop keeper;"I *love* your energy and determination! Ever|considered opening a shop of your own? ";"I *love* your energy and determination! Ever|considered opening a shop of your own? ";
;shop keeper;"Welcome back! Take your time - I only want satisfied customers.|As my old nan used to say: second place is for losers! ";"Welcome back! Take your time - I only want satisfied customers.|As my old nan used to say: second place is for losers! ";
;shop keeper;It's so nice to see you! Here, I set aside a few bits|and pieces I thought you might like...;It's so nice to see you! Here, I set aside a few bits|and pieces I thought you might like...;
;shop keeper;"Hello there! Thinking of settling down in the dungeons yet? Well,|I'll keep this microwave by in case you change your mind! ";"Hello there! Thinking of settling down in the dungeons yet? Well,|I'll keep this microwave by in case you change your mind! ";
;shop keeper;"Back for more weapons? Not interested in an engraved fountain|pen? Well, I guess the customer is always right! ";"Back for more weapons? Not interested in an engraved fountain|pen? Well, I guess the customer is always right! ";
;shop keeper;Hey, friend! Is it okay if I call you that? I'm beginning|to feel like we know each other pretty well!;Hey, friend! Is it okay if I call you that? I'm beginning|to feel like we know each other pretty well!;
;shop keeper;Welcome back! Have a browse, have a wander,|let me know if you have any questions...;Welcome back! Have a browse, have a wander,|let me know if you have any questions...;
;shop keeper;It's just wonderful to see you and your buddies so determined to|fight! It's like you don't know you're hopelessly doomed!;It's just wonderful to see you and your buddies so determined to|fight! It's like you don't know you're hopelessly doomed!;
;shop keeper;"Hey, just so you know, I set a carpet aside for when you all|decide to settle down and make yourselves home round here! ";"Hey, just so you know, I set a carpet aside for when you all|decide to settle down and make yourselves home round here! ";
;shop keeper;Oh, hello again! Want to know why my Dungeon shop is so successful?|The overheads are really low! Ahahahahaha!;Oh, hello again! Want to know why my Dungeon shop is so successful?|The overheads are really low! Ahahahahaha!;
;trading post;Here's what I've got. Take it or leave it.;Here's what I've got. Take it or leave it.;
;trading post;Here are your options! Sorry: here is your option!;Here are your options! Sorry: here is your option!;
;trading post;Afternoon. Not much in today.;Afternoon. Not much in today.;
;trading post;Well, I'll make an offer. No promises that you'll like it.;Well, I'll make an offer. No promises that you'll like it.;
;trading post;Welcome to the One Swap Shop. Here's today's swap.;Welcome to the One Swap Shop. Here's today's swap.;
;trading post;Trading time? Well, see what you think. It doesn't bother me either way.;Trading time? Well, see what you think. It doesn't bother me either way.;
;trading post;Well, let's see whether there's anything I can take off your hands.;Well, let's see whether there's anything I can take off your hands.;
;trading post;This is all you've got to trade? You're in more trouble than I thought.;This is all you've got to trade? You're in more trouble than I thought.;
;trading post;Your cash is useless here. It's tradeables or nothing.;Your cash is useless here. It's tradeables or nothing.;
;trading post;No takey backsies.;No takey backsies.;
;trading post;Well, I guess this isn't too bloodstained. Want to trade?;Well, I guess this isn't too bloodstained. Want to trade?;
;trading post;You want more choice? Friend, you're lucky I found one|piece of treasure in your bag of trash.;You want more choice? Friend, you're lucky I found one|piece of treasure in your bag of trash.;
;trading post;Here's what I've got - don't expect me to tell you how to use it.;Here's what I've got - don't expect me to tell you how to use it.;
;trading post;Oh, it's you. What've you got for me this time?;Oh, it's you. What've you got for me this time?;
;trading post;Hope you've brought me something decent this time.;Hope you've brought me something decent this time.;
;trading post;You again? What've you got?;You again? What've you got?;
;trading post;I hope you've got a better haul this time.;I hope you've got a better haul this time.;
;trading post;I hope this works out for you all. But like they say: you should|never go into business or dungeons with your friends.;I hope this works out for you all. But like they say: you should|never go into business or dungeons with your friends.;
;trading post;Look, I like you. Well, I only really like my sister, but I|don't *dislike* you. So I'll make you the best offer I can.;Look, I like you. Well, I only really like my sister, but I|don't *dislike* you. So I'll make you the best offer I can.;
;trading post;Back again? Well, let's get on with it.;Back again? Well, let's get on with it.;
;trading post;Still down here? I can't decide if you're brave or deluded. Maybe both.;Still down here? I can't decide if you're brave or deluded. Maybe both.;
;trading post;How do you still have this much energy? It's|exhausting just dealing with you.;How do you still have this much energy? It's|exhausting just dealing with you.;
;trading post;That's your current loadout? Ugh. Maybe this will help|you fail slightly less.;That's your current loadout? Ugh. Maybe this will help|you fail slightly less.;
;trading post (if you return);Huh. I thought you'd be back.;Huh. I thought you'd be back.;
;trading post (if you return);Weren't you just here? Well, the offer still stands.;Weren't you just here? Well, the offer still stands.;
;trading post (if you return);Look, take the deal or don't, doesn't bother me. Just don't|keep coming back every five minutes to hum and haw over it.;Look, take the deal or don't, doesn't bother me. Just don't|keep coming back every five minutes to hum and haw over it.;
;trading post (if you return);You again? Well, I'm not gonna offer you anything different this time.;You again? Well, I'm not gonna offer you anything different this time.;
;trading post (if you return);I don't haggle, you know. The deal is the deal. Take it or leave it.;I don't haggle, you know. The deal is the deal. Take it or leave it.;
;trading post (if you return);Do you think if you keep coming back I might offer you more?|Ha. You're lucky I'm not offering less.;Do you think if you keep coming back I might offer you more?|Ha. You're lucky I'm not offering less.;
;blacksmith;Mate! Come on in! Want a carrot? The Gardener|just dropped by and gave me a few - delicious!;Mate! Come on in! Want a carrot? The Gardener|just dropped by and gave me a few - delicious!;
;blacksmith;Hey! Mate! Come on in! You picked a great time|to come by, the Vacuum was just around for tea|so it's super clean in here at the mo.;Hey! Mate! Come on in! You picked a great time|to come by, the Vacuum was just around for tea|so it's super clean in here at the mo.;
;blacksmith;Come in! Take a seat! Picked up some great|wiring from Robobot this morning, I reckon|I've got some pretty decent upgrades to offer.;Come in! Take a seat! Picked up some great|wiring from Robobot this morning, I reckon|I've got some pretty decent upgrades to offer.;
;blacksmith;Heyyy, come in! Tell me: what do you want in|an upgrade? More compact machinery?|More power? More flexibility?;Heyyy, come in! Tell me: what do you want in|an upgrade? More compact machinery?|More power? More flexibility?;
;blacksmith;Hey! Come in! I love your outfit, you look|really intentional. Have you met Rose yet? So|dapper, I reckon you'd really get on.;Hey! Come in! I love your outfit, you look|really intentional. Have you met Rose yet? So|dapper, I reckon you'd really get on.;
;blacksmith;Oh you're back! Amazing! I've got some great|upgrades for you, just great, got some amazing|ideas from the Magician.;Oh you're back! Amazing! I've got some great|upgrades for you, just great, got some amazing|ideas from the Magician.;
;blacksmith;Come in! Come in! So good to see you! You just|missed Cornelius! Ah, love that guy, such a joker.;Come in! Come in! So good to see you! You just|missed Cornelius! Ah, love that guy, such a joker.;
;blacksmith;Hiya! Hey, want to buy some cookies? Madison|left ‘em here - you know Madison, right?|Great kid, great kid.;Hiya! Hey, want to buy some cookies? Madison|left ‘em here - you know Madison, right?|Great kid, great kid.;
;blacksmith;Welcome back! It's so great to see how hard|you're fighting! Lemme see what I've got in|the back, I must be able to help...;Welcome back! It's so great to see how hard|you're fighting! Lemme see what I've got in|the back, I must be able to help...;
;blacksmith;Mate! You're back! You just missed some|amazing karaoke, you would not BELIEVE how|great the Banshee is once she gets going.;Mate! You're back! You just missed some|amazing karaoke, you would not BELIEVE how|great the Banshee is once she gets going.;
;blacksmith;C'mon in! Hey you know the Space Marine? Think|he'd like a telescope for his Dungiversary, or|would it make him sad that he's not in space?;C'mon in! Hey you know the Space Marine? Think|he'd like a telescope for his Dungiversary, or|would it make him sad that he's not in space?;
;blacksmith;I just TOLD you - oh it's you! Sorry, thought|it was Sticky Hands again. Ah he's a good kid|but the shoplifting gets pretty intense!;I just TOLD you - oh it's you! Sorry, thought|it was Sticky Hands again. Ah he's a good kid|but the shoplifting gets pretty intense!;
;blacksmith;Oh it's you, great. I thought it might be|Marsho - great friend, really great, but that|fire and these chemicals are a tricky mix...;Oh it's you, great. I thought it might be|Marsho - great friend, really great, but that|fire and these chemicals are a tricky mix...;
;blacksmith;Ah come in! Be careful about where you're|walking, just had Slime round for brunch and|I haven't had a chance to mop up yet...;Ah come in! Be careful about where you're|walking, just had Slime round for brunch and|I haven't had a chance to mop up yet...;
;blacksmith;Oh it's you, come in! Do you think I could|bosh up a sunlight lamp for Dryad? She's|been a bit down lately.;Oh it's you, come in! Do you think I could|bosh up a sunlight lamp for Dryad? She's|been a bit down lately.;
;blacksmith;Hey, come in! Stick around if you like, Baby|Squid's coming round - she'd love to see you,|she's always saying you're great to fight.;Hey, come in! Stick around if you like, Baby|Squid's coming round - she'd love to see you,|she's always saying you're great to fight.;
;blacksmith;Ah you're still at it! Good on ya, I thought|you'da quit by now! Lemme have a stickybeak|at your equipment and I'll see what I can do.;Ah you're still at it! Good on ya, I thought|you'da quit by now! Lemme have a stickybeak|at your equipment and I'll see what I can do.;
;blacksmith;Mate! Come in! I was getting some armour|together for the Cactus. Go easy next time you|two fight, would you? It's hard to be a plant!;Mate! Come in! I was getting some armour|together for the Cactus. Go easy next time you|two fight, would you? It's hard to be a plant!;
;blacksmith;Come in! Sorry I'm always yelling that out,|it's just in case you're the Vampire, poor kid|can't come in unless he's invited.;Come in! Sorry I'm always yelling that out,|it's just in case you're the Vampire, poor kid|can't come in unless he's invited.;
;shop;Welcome! Welcome! The book group's meeting in the back - or are you|here for shopping? That's fine, carry on, have a browse!;Welcome! Welcome! The book group's meeting in the back - or are you|here for shopping? That's fine, carry on, have a browse!;
;shop;Hey there! Just window shopping, or are you here to buy?|I've got some bargains in today!;Hey there! Just window shopping, or are you here to buy?|I've got some bargains in today!;
;shop;Hey, come on in! Just so you know, we're happy to match any lower prices|you come across... just kidding, we're the only shop in the Dungeons,|so I guess it's take it or leave it!;Hey, come on in! Just so you know, we're happy to match any lower prices|you come across... just kidding, we're the only shop in the Dungeons,|so I guess it's take it or leave it!;
;shop;It's you again! We've just got some new stock in - I hope|there's something we can tempt you with!;It's you again! We've just got some new stock in - I hope|there's something we can tempt you with!;
;shop;Here for some more weapons? We've got a deal on|pool toys - no? The fighting stuff it is, then!;Here for some more weapons? We've got a deal on|pool toys - no? The fighting stuff it is, then!;
;shop;Hi there! It's book group day again, if you're interested? The|Kraken's leading us in a big Tennyson discussion... no? Well, let's|have a look at what we've got in stock!;Hi there! It's book group day again, if you're interested? The|Kraken's leading us in a big Tennyson discussion... no? Well, let's|have a look at what we've got in stock!;
;shop;Hey, come on in! Have a browse! All our stock is battle-ready|and comes with a seven day return policy! Wait, no, sorry,|I misread that - it comes with NO seven day return policy.;Hey, come on in! Have a browse! All our stock is battle-ready|and comes with a seven day return policy! Wait, no, sorry,|I misread that - it comes with NO seven day return policy.;
;shop;It's nice to see you around here so often! Let's have a look at|whether I've got anything that might help you out in these|next few battles...;It's nice to see you around here so often! Let's have a look at|whether I've got anything that might help you out in these|next few battles...;
;shop;Hey there, what are you after this time? Just kidding, I know|you only want the fighting stuff! Let's see what we've got...;Hey there, what are you after this time? Just kidding, I know|you only want the fighting stuff! Let's see what we've got...;
;shop;Welcome! We have some AMAZING deals on jugs and vases,|but I do see it'd be hard to get them out of the dungeons without|breaking! So let's see what we have for battles...;Welcome! We have some AMAZING deals on jugs and vases,|but I do see it'd be hard to get them out of the dungeons without|breaking! So let's see what we have for battles...;
;shop;Hi, come on in! And if you want to join in the book group,|they're out the back - Aoife's getting really into the Count of|Monte Cristo...;Hi, come on in! And if you want to join in the book group,|they're out the back - Aoife's getting really into the Count of|Monte Cristo...;
;blacksmith;Cnmonnim! I mean, come in! Sorry, just|snacking on some berries from the|Gardener. What're you after?;Cnmonnim! I mean, come in! Sorry, just|snacking on some berries from the|Gardener. What're you after?;
;blacksmith;Mate, come in! Gimme a sec, I'm|just polishing the Rat King's crown...|he's so humble for a king, isn't he?;Mate, come in! Gimme a sec, I'm|just polishing the Rat King's crown...|he's so humble for a king, isn't he?;
;blacksmith;Hey, take a seat mate. Don't take it|into the Dungeons though, wouldn't do|you much good there, haha!;Hey, take a seat mate. Don't take it|into the Dungeons though, wouldn't do|you much good there, haha!;
;blacksmith;Hey, it's you! Come in! Let's get|upgradin'.;Hey, it's you! Come in! Let's get|upgradin'.;
;blacksmith;Hey there! Just trying to buff up|the Frog's sword, be with you|any minute...;Hey there! Just trying to buff up|the Frog's sword, be with you|any minute...;
;blacksmith;Hey there, mate! What can I do for|you? A polish? An upgrade?;Hey there, mate! What can I do for|you? A polish? An upgrade?;
;blacksmith;Come on in, come on in! Take a|seat, it's upgrade time!;Come on in, come on in! Take a|seat, it's upgrade time!;
;blacksmith;Come on in! Let's see what you've|got, and what I can do with it...;Come on in! Let's see what you've|got, and what I can do with it...;
;blacksmith;Hey there! Get your kit out, I reckon|I can do something pretty good today...;Hey there! Get your kit out, I reckon|I can do something pretty good today...;
;blacksmith_initial;Heyyy! Come in, come in! I don't think|we've met? I'm Ned! I'm in charge of|equipment around here.;Heyyy! Come in, come in! I don't think|we've met? I'm Ned! I'm in charge of|equipment around here.;
;shop_initial;Oh, a new adventurer! Come on in! Welcome to Dungeon Supplies 4 U - I've|got some great stuff in stock. Need socks? Weapons? A small houseplant?;Oh, a new adventurer! Come on in! Welcome to Dungeon Supplies 4 U - I've|got some great stuff in stock. Need socks? Weapons? A small houseplant?;
;trade_initial;Hey, this is the trading post. You can trade something here.|If you absolutely insist.;Hey, this is the trading post. You can trade something here.|If you absolutely insist.;
;blacksmith_final;Taking on Lady Luck? All of you? Together? Huh!;Taking on Lady Luck? All of you? Together? Huh!;
;blacksmith_final;Here, take this, it might help.;Here, take this, it might help.;
;blacksmith_final;Can't say I blame you minions for joining in. Working|conditions have been going downhill lately.;Can't say I blame you minions for joining in. Working|conditions have been going downhill lately.;
;blacksmith_final;Why not shake things up a bit?;Why not shake things up a bit?;
;shop_final;What a fun group you are! Hiking around through|the Dungeons like this!;What a fun group you are! Hiking around through|the Dungeons like this!;
;shop_final;Here, I've got something for you. On the house.;Here, I've got something for you. On the house.;
;shop_final;You know what?;You know what?;
;shop_final;I love it here in the Dungeons, but|if you don't...;I love it here in the Dungeons, but|if you don't...;
;shop_final;...maybe you SHOULDN'T actually have to stay|here for all eternity!;...maybe you SHOULDN'T actually have to stay|here for all eternity!;
;shop_final;I hope you teach Lady Luck a lesson!;I hope you teach Lady Luck a lesson!;
;trade_final;Let me get this straight: you're trying to leave the Dungeons,|and you've got the minions to help you.;Let me get this straight: you're trying to leave the Dungeons,|and you've got the minions to help you.;
;shop_final;... You might want this.;... You might want this.;
;shop_final;Don't tell ANYONE I gave it to you without a trade.;Don't tell ANYONE I gave it to you without a trade.;
;shop_special;Wow, you bought everything! Good for you! You clearly|know a bargain when you see one!;Wow, you bought everything! Good for you! You clearly|know a bargain when you see one!;
;blacksmith_bear;Oh hey, Alchemist! Wait, no - it's you, huh!|Good on ya! Now let's see what I can do|for those claws...;Oh hey, Alchemist! Wait, no - it's you, huh!|Good on ya! Now let's see what I can do|for those claws...;
;trade_bear;Oh, you're a bear now? It's a definite improvement.|Can't trade you anything, though.;Oh, you're a bear now? It's a definite improvement.|Can't trade you anything, though.;
;shop_bear;Come in, come in! You're looking great! Very hairy, very ravenous, it suits you.|But I'm so sorry, I don't think I have anything in your size today.;Come in, come in! You're looking great! Very hairy, very ravenous, it suits you.|But I'm so sorry, I don't think I have anything in your size today.;
;chest_bear;You can't take this. You're a bear.;You can't take this. You're a bear.;
;Lady Luck end of episode;Ah look, you've won yet another episode.||Congratulations!#But, oh no! how unexpected!||I've spun the wheel and it doesn't look like|you're taking home a prize this time...;Ah look, you've won yet another episode.||Congratulations!#But, oh no! how unexpected!||I've spun the wheel and it doesn't look like|you're taking home a prize this time...;
;Lady Luck end of episode;You know, NONE of you contestants have|won your heart's desire yet.||What a baffling stretch of bad luck!||Anyway, it's time for one more|unlucky spin of the wheel...#Oooof, how unfortunate!||Probably next time though, right? Right!;You know, NONE of you contestants have|won your heart's desire yet.||What a baffling stretch of bad luck!||Anyway, it's time for one more|unlucky spin of the wheel...#Oooof, how unfortunate!||Probably next time though, right? Right!;
;Lady Luck end of episode;You must think you've been doing SO|well at all this fighting.||So sure, stick with it!||Let's spin the wheel yet again!#Ah, how tragic.||You lose again.;You must think you've been doing SO|well at all this fighting.||So sure, stick with it!||Let's spin the wheel yet again!#Ah, how tragic.||You lose again.;
;Lady Luck end of episode;Well, I've got to give you one thing:|you're persistent.||Still thinking about your heart's desire?||Focused on that win?||Then let's set the wheel spinning!#And now let's STOP the wheel on, look|at that, another unfortunate loss...;Well, I've got to give you one thing:|you're persistent.||Still thinking about your heart's desire?||Focused on that win?||Then let's set the wheel spinning!#And now let's STOP the wheel on, look|at that, another unfortunate loss...;
;Lady Luck end of episode;Ah look, here we are at the wheel again!||Let's give it a spin and see...||...whether this time, THIS time, you|might win your heart's desire.#Nope! Oh well, I'm sure things will look|up for you eventually.;Ah look, here we are at the wheel again!||Let's give it a spin and see...||...whether this time, THIS time, you|might win your heart's desire.#Nope! Oh well, I'm sure things will look|up for you eventually.;
;Lady Luck end of episode;Such a persistent little dice friend!||Sure, let's give the wheel a spin, why not!#No amazing prize this time, I'm afraid.||Bad luck. Maybe it's time to just|give up for ever?;Such a persistent little dice friend!||Sure, let's give the wheel a spin, why not!#No amazing prize this time, I'm afraid.||Bad luck. Maybe it's time to just|give up for ever?;
;Lady Luck end of episode;Here to give it another whirl?||Yeah, absolutely!||This could DEFINITELY be the time that|you win your heart's desire!#Oooh, look at that!||What are the chances?;Here to give it another whirl?||Yeah, absolutely!||This could DEFINITELY be the time that|you win your heart's desire!#Oooh, look at that!||What are the chances?;
;Lady Luck end of episode;Honestly, what would you even DO with|your heart's desire, if you won it?||No, no, sorry, silly question, let's just|get on with the wheel...#Anyway it looks like you don't need to make|any big decisions about what you would do.||At least not just yet.||Maybe next time!;Honestly, what would you even DO with|your heart's desire, if you won it?||No, no, sorry, silly question, let's just|get on with the wheel...#Anyway it looks like you don't need to make|any big decisions about what you would do.||At least not just yet.||Maybe next time!;
;Jester end of episode;Congratulations! That was a|magnificent victory!||You've earned another go at winning your|freedom AND your heart's desire!||Leeeeeeet's...||SPIN. SPIN. SPIN. SPIN. SPIN...#Ohhhh, bad luck!||But don't worry - there are plenty more|chances to spin where that came from!;Congratulations! That was a|magnificent victory!||You've earned another go at winning your|freedom AND your heart's desire!||Leeeeeeet's...||SPIN. SPIN. SPIN. SPIN. SPIN...#Ohhhh, bad luck!||But don't worry - there are plenty more|chances to spin where that came from!;
;Jester end of episode;Another magnificent win!||Now, let's wait for THE WHEEL|to do it's thing...#Oh dear.||Looks like THE WHEEL is against you today.||But never mind, maybe next time!;Another magnificent win!||Now, let's wait for THE WHEEL|to do it's thing...#Oh dear.||Looks like THE WHEEL is against you today.||But never mind, maybe next time!;
;Jester end of episode;Congratulations! You're on fire!||Not literally, of course – we don't want to|step on the Fireman's toes.||Anyway, let's have another spin|of THE WHEEL!...#Ah, bad luck.||But it looks like you've won a set of lightly|used picnic cutlery as a consolation prize!;Congratulations! You're on fire!||Not literally, of course – we don't want to|step on the Fireman's toes.||Anyway, let's have another spin|of THE WHEEL!...#Ah, bad luck.||But it looks like you've won a set of lightly|used picnic cutlery as a consolation prize!;
;Jester end of episode;Amazing! Astounding!||Now let's see what THE WHEEL has to say...#Ah. It doesn't look like you're getting|everything you've ever wanted yet.||But maybe next time?||And for now you can have this...|fax machine!;Amazing! Astounding!||Now let's see what THE WHEEL has to say...#Ah. It doesn't look like you're getting|everything you've ever wanted yet.||But maybe next time?||And for now you can have this...|fax machine!;
;Jester end of episode;And it's time for another visit to the|victory stage!||Let's all hold our breath and think about|all the things you could do with your|heart's desire if you win...#Ah, not this time, but we'll see you soon|for another episode and another chance!;And it's time for another visit to the|victory stage!||Let's all hold our breath and think about|all the things you could do with your|heart's desire if you win...#Ah, not this time, but we'll see you soon|for another episode and another chance!;
;Jester end of episode;The wheel's been against you before,|but that can't last for ever!||Let's mutter GO GO GO under our breath|while we watch the wheel spin...#Ah, another highly unlikely spin of the|wheel there, but maybe next time!;The wheel's been against you before,|but that can't last for ever!||Let's mutter GO GO GO under our breath|while we watch the wheel spin...#Ah, another highly unlikely spin of the|wheel there, but maybe next time!;
;Jester end of episode;Surely probability DEMANDS that you'll|triumph this time!||No, don't do the maths, come on,|focus on the wheel...#Oooh, looks like no.||But surely that means that next|time you're BOUND to win...;Surely probability DEMANDS that you'll|triumph this time!||No, don't do the maths, come on,|focus on the wheel...#Oooh, looks like no.||But surely that means that next|time you're BOUND to win...;
;Jester end of episode;Time for another spin of the wheel!||Concentrate REALLY HARD on your|heart's desire...||...the thing you want more than anything|else in the world...#Well, looks like you're not going to fulfill|all your hopes and dreams THIS time...||...but we'll see you soon for another episode!;Time for another spin of the wheel!||Concentrate REALLY HARD on your|heart's desire...||...the thing you want more than anything|else in the world...#Well, looks like you're not going to fulfill|all your hopes and dreams THIS time...||...but we'll see you soon for another episode!;
;Jester end of episode;This has been fun, but I know what|you're really here for:||That amazing prize that you're SURELY|going to win this time!||SPIN THE WHEEL! SPIN THE WHEEL!#...oh, BAD luck, friend.||But don't give up!||I believe in you!;This has been fun, but I know what|you're really here for:||That amazing prize that you're SURELY|going to win this time!||SPIN THE WHEEL! SPIN THE WHEEL!#...oh, BAD luck, friend.||But don't give up!||I believe in you!;
;Jester end of episode;Are you having a nice time in the Dungeons?||We're just LOVING having you here!||Although of course what you really want|is to get your prize and get out, so let's|SPIN THE WHEEL...#Ah, such a shame!||But if you stick with it, you're|bound to win eventually!;Are you having a nice time in the Dungeons?||We're just LOVING having you here!||Although of course what you really want|is to get your prize and get out, so let's|SPIN THE WHEEL...#Ah, such a shame!||But if you stick with it, you're|bound to win eventually!;
;Jester end of episode;You've been doing SO well!||Adapting to all the new rules, fighting|all of Lady Luck's minions.||Will it finally pay off?#Oh no, bad luck - wait no..||...the wheel's still spinning, give it a moment...||RIGHT. Yes. Bad luck!;You've been doing SO well!||Adapting to all the new rules, fighting|all of Lady Luck's minions.||Will it finally pay off?#Oh no, bad luck - wait no..||...the wheel's still spinning, give it a moment...||RIGHT. Yes. Bad luck!;
;Jester end of episode;Welcome back to the Victory Stage!||You know the drill - let's give it a|spin and see if you win!#Another near miss - but I admire|your optimism.||That's right! Stick with it!|Never give up!;Welcome back to the Victory Stage!||You know the drill - let's give it a|spin and see if you win!#Another near miss - but I admire|your optimism.||That's right! Stick with it!|Never give up!;
;Jester end of episode;Well, here we are again!||Let's try the exact same thing we've|been doing for ages...||...and see if the results are|different this time!#Oooof, no, sorry.||But maybe if you try it another|five or ten times...;Well, here we are again!||Let's try the exact same thing we've|been doing for ages...||...and see if the results are|different this time!#Oooof, no, sorry.||But maybe if you try it another|five or ten times...;
;Jester end of episode;You're really sticking with this, aren't you?||Not tempted to give up on your dreams?||Okay, then let's spin the wheel!||Who knows what's going to happen|now, it could be literally anything!#And it's ANOTHER IMPLAUSIBLE LOSS,|I'm so sorry!;You're really sticking with this, aren't you?||Not tempted to give up on your dreams?||Okay, then let's spin the wheel!||Who knows what's going to happen|now, it could be literally anything!#And it's ANOTHER IMPLAUSIBLE LOSS,|I'm so sorry!;
;Jester end of episode;SPIN! SPIN! SPIN! SPIN!||WIN! WIN! WIN...#Oh, not this time though, bad luck!;SPIN! SPIN! SPIN! SPIN!||WIN! WIN! WIN...#Oh, not this time though, bad luck!;
;Jester end of episode;We're rooting for you, so let's|SPIN THE WHEEL!#...ah, sad times, but it's so brave|of you to keep trying.||So let's have another episode!;We're rooting for you, so let's|SPIN THE WHEEL!#...ah, sad times, but it's so brave|of you to keep trying.||So let's have another episode!;
;Lady Luck end of episode to Jester;Ah, my little traitorous Jester returns.||Sure, let's go pretend this spin|means something.||And here we go...#Another loss.;Ah, my little traitorous Jester returns.||Sure, let's go pretend this spin|means something.||And here we go...#Another loss.;
;Lady Luck end of episode to Jester;You again!||Let me give this big wheel a spin while I gaze|at you with bottomless malevolence, and|you drop your eyes in shame!#Fancy that! You lose!;You again!||Let me give this big wheel a spin while I gaze|at you with bottomless malevolence, and|you drop your eyes in shame!#Fancy that! You lose!;
;Lady Luck end of episode to Jester;You know what?||I think I'm going to let the wheel spin fairly this|time, just so that I can feel your agony more|keenly when you lose.#Which you did.||Well, WHAT a shame.;You know what?||I think I'm going to let the wheel spin fairly this|time, just so that I can feel your agony more|keenly when you lose.#Which you did.||Well, WHAT a shame.;
;Lady Luck end of episode to Jester;Having fun here, my dear?||Fighting your long-term friends|and colleagues?||In a game that you know you'll never win?#And you didn't!;Having fun here, my dear?||Fighting your long-term friends|and colleagues?||In a game that you know you'll never win?#And you didn't!;
;Lady Luck end of episode to Jester;It's theoretically possible, of course, that this|wheel is going to spin you up a prize and a path|out of the dungeon.||So let's spin it!||I'm going to enjoy watching your|face as you lose.#Yeah go on, try to hide your despair...;It's theoretically possible, of course, that this|wheel is going to spin you up a prize and a path|out of the dungeon.||So let's spin it!||I'm going to enjoy watching your|face as you lose.#Yeah go on, try to hide your despair...;
;Lady Luck end of episode to Jester;Jester! Aren't you doing well!||Of course, you've had SO much practice|fighting in these dungeons.||If you didn't do well you'd be even MORE of|a disappointment than you already are.||Wanna chant a little bit| before we spin?||SPIN THE WHEEL, remember?||SPIN THE WHEEL! SPIN THE WHEEL!#Bad luck, there, buddy. Maybe you|should have chanted harder.;Jester! Aren't you doing well!||Of course, you've had SO much practice|fighting in these dungeons.||If you didn't do well you'd be even MORE of|a disappointment than you already are.||Wanna chant a little bit| before we spin?||SPIN THE WHEEL, remember?||SPIN THE WHEEL! SPIN THE WHEEL!#Bad luck, there, buddy. Maybe you|should have chanted harder.;
