Changed?,Name,Description,Name_uk,Description_uk,
,Blizzard_upgraded,Do [ice]<d6> damage[;]|Freeze [ice]2 dice,Blizzard_upgraded,Do [ice]<d6> damage[;]|Freeze [ice]2 dice,
,Shockwave,Do [weaken]<d6> damage[;]|[]+[weaken]1 weaken,Shockwave,Do [weaken]<d6> damage[;]|[]+[weaken]1 weaken,
,Shockwave_upgraded,Do [weaken]<d6> damage[;]|[]+[weaken]2 weaken,Shockwave_upgraded,Do [weaken]<d6> damage[;]|[]+[weaken]2 weaken,
,Illuminate,Get 2x[dice]<d6>s next turn,Illuminate,Get 2x[dice]<d6>s next turn,
,Illuminate_upgraded,Get 4x[dice]<slotdoubles>s next turn,Illuminate_upgraded,Get 4x[dice]<slotdoubles>s next turn,
,Magic Reroll,Reroll unused dice,Magic Reroll,Reroll unused dice,
,Life Drain,Drain [heart]<d6> health,Life Drain,Drain [heart]<d6> health,
,Mystery Box,Very mysterious,Mystery Box,Very mysterious,
,Mystery Box_upgraded,Contents upgraded,Mystery Box_upgraded,Contents upgraded,
,Acid Arrow,Add [poison]2 poison,Acid Arrow,Add [poison]2 poison,
,Meteor,Do [fire]20 damage[;]|burn all dice,Meteor,Do [fire]20 damage[;]|burn all dice,
,Meteor_upgraded,Do [fire]25 damage[;]|burn all dice,Meteor_upgraded,Do [fire]25 damage[;]|burn all dice,
,Meteor_downgraded,Do [fire]10 damage[;]|burn a dice,Meteor_downgraded,Do [fire]10 damage[;]|burn a dice,
,Cauldron,Do [sword]1 damage[;]|get a new dice,Cauldron,Do [sword]1 damage[;]|get a new dice,
,Cauldron_upgraded,Do [sword]1 damage[;] reroll dice|[gray](Reuseable),Cauldron_upgraded,Do [sword]1 damage[;] reroll dice|[gray](Reuseable),
,Cauldron_downgraded,Do [sword]1 damage,Cauldron_downgraded,Do [sword]1 damage,
,Hex,Even: [weaken]1 weaken|Odd: [shock]1 shock,Hex,Even: [weaken]1 weaken|Odd: [shock]1 shock,
,Hex_upgraded,Even: [weaken]2 weaken|Odd: [shock]2 shock,Hex_upgraded,Even: [weaken]2 weaken|Odd: [shock]2 shock,
,Magic Spear,Do [sword]10 damage,Magic Spear,Do [sword]10 damage,
,Magic Spear_downgraded,Do [sword]5 damage,Magic Spear_downgraded,Do [sword]5 damage,
,Magic Spear_upgraded,Do [sword]14 damage,Magic Spear_upgraded,Do [sword]14 damage,
,Glass Cauldron,Freeze [ice]1 dice[;]|roll a one,Glass Cauldron,Freeze [ice]1 dice[;]|roll a one,
,Glass Cauldron_upgraded,Freeze [ice]1 dice[;] roll a one|[gray](Reuseable),Glass Cauldron_upgraded,Freeze [ice]1 dice[;] roll a one|[gray](Reuseable),
,Glass Cauldron_downgraded,Freeze [ice]1 dice,Glass Cauldron_downgraded,Freeze [ice]1 dice,
,Gold Cauldron,Do [sword]1 damage[;]|get an even dice,Gold Cauldron,Do [sword]1 damage[;]|get an even dice,
,Gold Cauldron_upgraded,Do [sword]1[;] get an even dice|[gray](Reuseable),Gold Cauldron_upgraded,Do [sword]1[;] get an even dice|[gray](Reuseable),
,Gold Cauldron_downgraded,Do [sword]1 damage,Gold Cauldron_downgraded,Do [sword]1 damage,
,Silver Cauldron,Do [sword]1 damage[;]|get an odd dice,Silver Cauldron,Do [sword]1 damage[;]|get an odd dice,
,Silver Cauldron_upgraded,Do [sword]1[;] get an odd dice|[gray](Reuseable),Silver Cauldron_upgraded,Do [sword]1[;] get an odd dice|[gray](Reuseable),
,Silver Cauldron_downgraded,Do [sword]1 damage,Silver Cauldron_downgraded,Do [sword]1 damage,
,Crucible,Roll a burning dice|[gray](Reuseable),Crucible,Roll a burning dice|[gray](Reuseable),
,Crucible_upgraded,Roll four new burning dice,Crucible_upgraded,Roll four new burning dice,
,Crucible_downgraded,Roll a burning dice,Crucible_downgraded,Roll a burning dice,
,Absolute Zero,Do [ice]25 damage[;]|freeze all dice,Absolute Zero,Do [ice]25 damage[;]|freeze all dice,
,Absolute Zero_upgraded,Do [ice]30 damage[;]|freeze all dice,Absolute Zero_upgraded,Do [ice]30 damage[;]|freeze all dice,
,Absolute Zero_downgraded,Do [ice]12 damage[;]|freeze a dice,Absolute Zero_downgraded,Do [ice]12 damage[;]|freeze a dice,
,Headbutt,Do [sword]<d6> damage|[gray](Reuseable),Headbutt,Do [sword]<d6> damage|[gray](Reuseable),
,Headbutt_upgraded,Do [sword]<d6> damage|[gray](Reuseable),Headbutt_upgraded,Do [sword]<d6> damage|[gray](Reuseable),
,Ink Splat,Blind [blind]1 dice,Ink Splat,Blind [blind]1 dice,
,Ink Splat_upgraded,Blind [blind]1 dice|[gray](Reuseable),Ink Splat_upgraded,Blind [blind]1 dice|[gray](Reuseable),
,Seize,Lock [lock]1 dice,Seize,Lock [lock]1 dice,
,Spatula,Flip a dice upside down,Spatula,Flip a dice upside down,
,Spatula_downgraded,Flip a dice upside down,Spatula_downgraded,Flip a dice upside down,
,Spatula_upgraded,Flip a dice upside down|[gray](Reuseable),Spatula_upgraded,Flip a dice upside down|[gray](Reuseable),
,Quarterstaff,Do [sword]<d6> damage[;] on 4[;]|return the dice,Quarterstaff,Do [sword]<d6> damage[;] on 4[;]|return the dice,
,Quarterstaff_downgraded,Do [sword]<d6> damage[;] on 4[;]|return the dice,Quarterstaff_downgraded,Do [sword]<d6> damage[;] on 4[;]|return the dice,
,Quarterstaff_upgraded,Do [sword]<d6> damage[;] on 4[;]|return the dice,Quarterstaff_upgraded,Do [sword]<d6> damage[;] on 4[;]|return the dice,
,Bear Maul,Do [sword]<d6> damage,Bear Maul,Do [sword]<d6> damage,
,Bear Maul_upgraded,Do [sword]<d6> damage,Bear Maul_upgraded,Do [sword]<d6> damage,
,Bear Maul_downgraded,Do [sword]<d6> damage,Bear Maul_downgraded,Do [sword]<d6> damage,
,Hibernate,Recover [heal]<d6> health,Hibernate,Recover [heal]<d6> health,
,Hibernate_upgraded,Recover [heal]<d6> health,Hibernate_upgraded,Recover [heal]<d6> health,
,Hibernate_downgraded,Recover [heal]<d6> health,Hibernate_downgraded,Recover [heal]<d6> health,
,Bear Roar,Weaken [weaken]3 equipment,Bear Roar,Weaken [weaken]3 equipment,
,Bear Roar_upgraded,Weaken [weaken]4 equipment,Bear Roar_upgraded,Weaken [weaken]4 equipment,
,Bear Roar_downgraded,Weaken [weaken]1 equipment,Bear Roar_downgraded,Weaken [weaken]1 equipment,
,Bear Charge,Repeat next action,Bear Charge,Repeat next action,
,Juggling Ball,Do [sword]<d6> damage[;]|get a new dice,Juggling Ball,Do [sword]<d6> damage[;]|get a new dice,
,Juggling Ball_upgraded,Do [sword]<d6> damage[;]|get a new dice,Juggling Ball_upgraded,Do [sword]<d6> damage[;]|get a new dice,
,Juggling Ball_downgraded,Do [sword]<d6> damage,Juggling Ball_downgraded,Do [sword]<d6> damage,
,Ice Age,Freeze all dice,Ice Age,Freeze all dice,
,Ice Age_upgraded,Freeze all dice,Ice Age_upgraded,Freeze all dice,
,Ice Age_downgraded,Freeze all dice,Ice Age_downgraded,Freeze all dice,
,Camouflage,Blind [blind]2 dice,Camouflage,Blind [blind]2 dice,
,Camouflage_upgraded,Blind [blind]4 dice,Camouflage_upgraded,Blind [blind]4 dice,
,Camouflage_downgraded,Blind [blind]1 dice,Camouflage_downgraded,Blind [blind]1 dice,
,Overwhelm,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),Overwhelm,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),
,Overwhelm_upgraded,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),Overwhelm_upgraded,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),
,Overwhelm_downgraded,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),Overwhelm_downgraded,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),
,Spike,Do [sword]<d6> damage,Spike,Do [sword]<d6> damage,
,Spike_upgraded,Do [sword]<d6> damage,Spike_upgraded,Do [sword]<d6> damage,
,Spike_downgraded,Do [sword]<d6> damage,Spike_downgraded,Do [sword]<d6> damage,
,Sharp Spike,Do [sword]<double> damage,Sharp Spike,Do [sword]<double> damage,
,Sharp Spike_upgraded,Do [sword]<triple> damage,Sharp Spike_upgraded,Do [sword]<triple> damage,
,Sharp Spike_downgraded,Do [sword]<d6> damage,Sharp Spike_downgraded,Do [sword]<d6> damage,
,Sneeze,Split a dice into 1s,Sneeze,Split a dice into 1s,
,Sneeze_upgraded,Split a dice into 1s[;]|and roll an extra 1,Sneeze_upgraded,Split a dice into 1s[;]|and roll an extra 1,
,Sneeze_downgraded,Split a dice into 1s,Sneeze_downgraded,Split a dice into 1s,
,The Curse,Do [sword]<d6> damage[;]|Inflict curse,The Curse,Do [sword]<d6> damage[;]|Inflict curse,
,The Curse_upgraded,Do [sword]<d6> damage[;]|Inflict curse,The Curse_upgraded,Do [sword]<d6> damage[;]|Inflict curse,
,The Curse_downgraded,Inflict curse,The Curse_downgraded,Inflict curse,
,The Wind,Do [sword]<d6> damage[;]|Lock [lock]2 dice,The Wind,Do [sword]<d6> damage[;]|Lock [lock]2 dice,
,The Wind_upgraded,Do [sword]<d6> damage[;]|Lock [lock]2 dice,The Wind_upgraded,Do [sword]<d6> damage[;]|Lock [lock]2 dice,
,The Wind_downgraded,Lock [lock]2 dice,The Wind_downgraded,Lock [lock]2 dice,
,The Shadow,Do [sword]<d6> damage[;]|Blind [blind]3 dice,The Shadow,Do [sword]<d6> damage[;]|Blind [blind]3 dice,
,The Shadow_upgraded,Do [sword]<d6> damage[;]|Blind [blind]3 dice,The Shadow_upgraded,Do [sword]<d6> damage[;]|Blind [blind]3 dice,
,The Shadow_downgraded,Blind [blind]3 dice,The Shadow_downgraded,Blind [blind]3 dice,
,The Cold,Do [ice]<d6> damage[;]|Freeze [ice]4 dice,The Cold,Do [ice]<d6> damage[;]|Freeze [ice]4 dice,
,The Cold_upgraded,Do [ice]<d6> damage[;]|Freeze [ice]4 dice,The Cold_upgraded,Do [ice]<d6> damage[;]|Freeze [ice]4 dice,
,The Cold_downgraded,Freeze [ice]4 dice,The Cold_downgraded,Freeze [ice]4 dice,
,The Ashes,Do [fire]<d6> damage[;]|Burn [fire]5 dice,The Ashes,Do [fire]<d6> damage[;]|Burn [fire]5 dice,
,The Ashes_upgraded,Do [fire]<d6> damage[;]|Burn [fire]5 dice,The Ashes_upgraded,Do [fire]<d6> damage[;]|Burn [fire]5 dice,
,The Ashes_downgraded,Burn [fire]5 dice,The Ashes_downgraded,Burn [fire]5 dice,
,The Storm,Do [shock]<d6> damage[;]|Shock [shock]6 and silence,The Storm,Do [shock]<d6> damage[;]|Shock [shock]6 and silence,
,The Storm_upgraded,Do [shock]<d6> damage[;]|Shock [shock]6 and silence,The Storm_upgraded,Do [shock]<d6> damage[;]|Shock [shock]6 and silence,
,The Storm_downgraded,Shock [shock]6 and silence,The Storm_downgraded,Shock [shock]6 and silence,
,Mechanical Arm,Do [sword]<dicerolled> damage[;]|add [sword]1 each roll,Mechanical Arm,Do [sword]<dicerolled> damage[;]|add [sword]1 each roll,
,Forcefield,Add [shield]<dicerolled> shield[;]|add [shield]1 each roll,Forcefield,Add [shield]<dicerolled> shield[;]|add [shield]1 each roll,
,Cheat Code,Increase Jackpot|range this turn,Cheat Code,Increase Jackpot|range this turn,
,Cheat Code_upgraded,Increase Jackpot|range by 2 this turn,Cheat Code_upgraded,Increase Jackpot|range by 2 this turn,
,Fixed Payout,Use an additional|Jackpot ability,Fixed Payout,Use an additional|Jackpot ability,
,Fixed Payout_upgraded,Use all additional|Jackpot abilities,Fixed Payout_upgraded,Use all additional|Jackpot abilities,
,Heat Sink,Reduce CPU|counter by <d6>,Heat Sink,Reduce CPU|counter by <d6>,
,Heat Sink_upgraded,Reduce CPU|counter by 7,Heat Sink_upgraded,Reduce CPU|counter by 7,
,Increment,CPU counter + 1|[gray](Reuseable),Increment,CPU counter + 1|[gray](Reuseable),
,Increment_upgraded,CPU counter + 1|[gray](Reuseable),Increment_upgraded,CPU counter + 1|[gray](Reuseable),
,Missile Launcher,Do [fire]<d6> damage[;]|Burn [fire]2 dice,Missile Launcher,Do [fire]<d6> damage[;]|Burn [fire]2 dice,
,Missile Launcher_upgraded,Do [fire]<d6> damage[;]|Burn [fire]2 dice,Missile Launcher_upgraded,Do [fire]<d6> damage[;]|Burn [fire]2 dice,
,Buster Sword,Do [sword]<d6> damage[;]|immune to errors,Buster Sword,Do [sword]<d6> damage[;]|immune to errors,
,Ultima Weapon,Do [sword]<d6> damage[;]|double on jackpot,Ultima Weapon,Do [sword]<d6> damage[;]|double on jackpot,
,Ray Gun,Do [sword]3 damage|[gray](Reuseable),Ray Gun,Do [sword]3 damage|[gray](Reuseable),
,Ray Gun_upgraded,Do [sword]4 damage|[gray](Reuseable),Ray Gun_upgraded,Do [sword]4 damage|[gray](Reuseable),
,Benchmark,Do [sword]<dicetotal> damage|[gray](equal to total roll),Benchmark,Do [sword]<dicetotal> damage|[gray](equal to total roll),
,Benchmark_upgraded,Do [sword]<dicetotal> damage|[gray](equal to total roll),Benchmark_upgraded,Do [sword]<dicetotal> damage|[gray](equal to total roll),
,Benchmark_downgraded,Do [sword]<dicetotal> damage|[gray](equal to total roll),Benchmark_downgraded,Do [sword]<dicetotal> damage|[gray](equal to total roll),
,Short Circuit,Do [sword]<d6> damage[;]|add random status,Short Circuit,Do [sword]<d6> damage[;]|add random status,
,Short Circuit_upgraded,Do [sword]<d6> damage[;]|add random status,Short Circuit_upgraded,Do [sword]<d6> damage[;]|add random status,
,Short Circuit_downgraded,Add random status,Short Circuit_downgraded,Add random status,
,Bumpblade,Do [sword]1 damage[;] get|new dice (value +1),Bumpblade,Do [sword]1 damage[;] get|new dice (value +1),
,Bumpblade_upgraded,[sword]1 damage[;] bump dice|[gray](Reuseable),Bumpblade_upgraded,[sword]1 damage[;] bump dice|[gray](Reuseable),
,Lock 1,Unlocks Keyblade[;]|return the dice,Lock 1,Unlocks Keyblade[;]|return the dice,
,Lock 2,Unlocks Keyblade[;]|return the dice,Lock 2,Unlocks Keyblade[;]|return the dice,
,Lock 3,Unlocks Keyblade[;]|return the dice,Lock 3,Unlocks Keyblade[;]|return the dice,
,Lock 4,Unlocks Keyblade[;]|return the dice,Lock 4,Unlocks Keyblade[;]|return the dice,
,Lock 5,Unlocks Keyblade[;]|return the dice,Lock 5,Unlocks Keyblade[;]|return the dice,
,Lock 6,Unlocks Keyblade[;]|return the dice,Lock 6,Unlocks Keyblade[;]|return the dice,
,Lock 1_upgraded,Unlocks Keyblade+[;]|flip dice upside down,Lock 1_upgraded,Unlocks Keyblade+[;]|flip dice upside down,
,Lock 2_upgraded,Unlocks Keyblade+[;]|flip dice upside down,Lock 2_upgraded,Unlocks Keyblade+[;]|flip dice upside down,
,Lock 3_upgraded,Unlocks Keyblade+[;]|flip dice upside down,Lock 3_upgraded,Unlocks Keyblade+[;]|flip dice upside down,
,Lock 4_upgraded,Unlocks Keyblade+[;]|flip dice upside down,Lock 4_upgraded,Unlocks Keyblade+[;]|flip dice upside down,
,Lock 5_upgraded,Unlocks Keyblade+[;]|flip dice upside down,Lock 5_upgraded,Unlocks Keyblade+[;]|flip dice upside down,
,Lock 6_upgraded,Unlocks Keyblade+[;]|flip dice upside down,Lock 6_upgraded,Unlocks Keyblade+[;]|flip dice upside down,
,Keyblade,Do [sword]3 damage[;]|return the dice,Keyblade,Do [sword]3 damage[;]|return the dice,
,Keyblade_upgraded,Do [sword]4 damage[;]|return the dice,Keyblade_upgraded,Do [sword]4 damage[;]|return the dice,
,Keyblade_downgraded,Do [sword]1 damage,Keyblade_downgraded,Do [sword]1 damage,
,Spiky Potion,Do [sword]8 damage|[gray](once per battle),Spiky Potion,Do [sword]8 damage|[gray](once per battle),
,Spiky Potion_downgraded,Do [sword]4 damage|[gray](once per battle),Spiky Potion_downgraded,Do [sword]4 damage|[gray](once per battle),
,Fire Potion,[fire]8 damage[;] burn all dice|[gray](once per battle),Fire Potion,[fire]8 damage[;] burn all dice|[gray](once per battle),
,Fire Potion_downgraded,Do [fire]4 damage|[gray](once per battle),Fire Potion_downgraded,Do [fire]4 damage|[gray](once per battle),
,Toxic Potion,Inflict [poison]5 poison|[gray](once per battle),Toxic Potion,Inflict [poison]5 poison|[gray](once per battle),
,Toxic Potion_downgraded,Inflict [poison]3 poison,Toxic Potion_downgraded,Inflict [poison]3 poison,
,Bear Potion,Transform into a bear[;]|recover [heal]12 health,Bear Potion,Transform into a bear[;]|recover [heal]12 health,
,Bear Potion_downgraded,Transform into a bear,Bear Potion_downgraded,Transform into a bear,
,Cardboard Sword,Do [sword]<cardboardsword> damage|Lose [sword]2 each use,Cardboard Sword,Do [sword]<cardboardsword> damage|Lose [sword]2 each use,
,Cardboard Sword_upgraded,Do [sword]<upgradedcardboardsword> damage|Lose [sword]1 each use,Cardboard Sword_upgraded,Do [sword]<upgradedcardboardsword> damage|Lose [sword]1 each use,
,Glue,Lock [lock]1 dice|[gray](Reuseable),Glue,Lock [lock]1 dice|[gray](Reuseable),
,Glue_upgraded,Lock [lock]1 dice|[gray](Reuseable),Glue_upgraded,Lock [lock]1 dice|[gray](Reuseable),
,Campfire,[fire]<timesused> dmg[;] burn a dice|Add +[fire]1 each use,Campfire,[fire]<timesused> dmg[;] burn a dice|Add +[fire]1 each use,
,Campfire_upgraded,[fire]<timesused> dmg[;] burn two dice|Add +[fire]1 each use,Campfire_upgraded,[fire]<timesused> dmg[;] burn two dice|Add +[fire]1 each use,
,Pocket Knife,Do [sword]<d6> damage|[gray](Reuseable),Pocket Knife,Do [sword]<d6> damage|[gray](Reuseable),
,Pocket Knife_upgraded,Do [sword]<d6> damage|[gray](Reuseable),Pocket Knife_upgraded,Do [sword]<d6> damage|[gray](Reuseable),
,Pocket Knife_downgraded,Do [sword]<d6> damage,Pocket Knife_downgraded,Do [sword]<d6> damage,
,Battle Axe,Do [sword]<double> damage,Battle Axe,Do [sword]<double> damage,
,Battle Axe_downgraded,Do [sword]<double> damage,Battle Axe_downgraded,Do [sword]<double> damage,
,Battle Axe_weakened,Do [sword]<double> damage,Battle Axe_weakened,Do [sword]<double> damage,
,Battle Axe_deckupgrade,Do [sword]<double> damage,Battle Axe_deckupgrade,Do [sword]<double> damage,
,Breadcrumbs,Heal +[heart]1[;] add +[shield]1|[gray](Reuseable),Breadcrumbs,Heal +[heart]1[;] add +[shield]1|[gray](Reuseable),
,Breadcrumbs_downgraded,Add +[shield]1|[gray](Reuseable),Breadcrumbs_downgraded,Add +[shield]1|[gray](Reuseable),
,Breadcrumbs_upgraded,Heal +[heart]1[;] add +[shield]1|[gray](Reuseable),Breadcrumbs_upgraded,Heal +[heart]1[;] add +[shield]1|[gray](Reuseable),
,Echo Blast,Do [weaken]<d6> damage|[]+[weaken]2 weaken,Echo Blast,Do [weaken]<d6> damage|[]+[weaken]2 weaken,
,Crystallize,Create a random|crystal weapon,Crystallize,Create a random|crystal weapon,
,Crystallize_upgraded,Create a random|crystal weapon,Crystallize_upgraded,Create a random|crystal weapon,
,Crystallize_downgraded,No effect,Crystallize_downgraded,No effect,
,Earth Crystal,Do [weaken]<d6> damage|[weaken]Weakens enemy,Earth Crystal,Do [weaken]<d6> damage|[weaken]Weakens enemy,
,Fire Crystal,Deal [fire]<d6> damage|Burn [fire]1 dice,Fire Crystal,Deal [fire]<d6> damage|Burn [fire]1 dice,
,Air Crystal,Do [shock]<d6> damage[;]|[]+[shock]1 shock,Air Crystal,Do [shock]<d6> damage[;]|[]+[shock]1 shock,
,Ice Crystal,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,Ice Crystal,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,
,Power Crystal,Gain a random blessing,Power Crystal,Gain a random blessing,
,Smokey Crystal,Curse Enemy|[gray](items might fail),Smokey Crystal,Curse Enemy|[gray](items might fail),
,Life Crystal,Recover [heal]<d6> health,Life Crystal,Recover [heal]<d6> health,
,Hollow Crystal,Do [sword]<d6> damage,Hollow Crystal,Do [sword]<d6> damage,
,Catastrophe,Inflict [shock] shock[;]|[fire] burn[;] and [ice] freeze,Catastrophe,Inflict [shock] shock[;]|[fire] burn[;] and [ice] freeze,
,Catastrophe_upgraded,Inflict [shock]2 shock[;]|[fire]2 burn[;] [ice]2 freeze,Catastrophe_upgraded,Inflict [shock]2 shock[;]|[fire]2 burn[;] [ice]2 freeze,
,Catastrophe_downgraded,Inflict [shock] shock[;]|[fire] burn[;] or [ice] freeze,Catastrophe_downgraded,Inflict [shock] shock[;]|[fire] burn[;] or [ice] freeze,
,Whip,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]1 burn,Whip,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]1 burn,
,Whip_upgraded,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]2 burn,Whip_upgraded,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]2 burn,
,Whip_downgraded,Do [fire]<d6> damage,Whip_downgraded,Do [fire]<d6> damage,
,Stumble,Lose [heart]1 health,Stumble,Lose [heart]1 health,
,Stumble_upgraded,Lose [heart]1 health[;]|return the dice,Stumble_upgraded,Lose [heart]1 health[;]|return the dice,
,Stumble_downgraded,Lose [heart]2 health,Stumble_downgraded,Lose [heart]2 health,
,Bop,Do [sword]3 damage,Bop,Do [sword]3 damage,
,Bop_upgraded,Do [sword]5 damage,Bop_upgraded,Do [sword]5 damage,
,Bop_downgraded,Do [sword]2 damage,Bop_downgraded,Do [sword]2 damage,
,Deflect,Block [shield]2 damage,Deflect,Block [shield]2 damage,
,Deflect_upgraded,Block [shield]3 damage,Deflect_upgraded,Block [shield]3 damage,
,Call for Backup Warrior,Warrior Smash|[sword]<var:bopcount> dmg[;] +1 per bop,Call for Backup Warrior,Warrior Smash|[sword]<var:bopcount> dmg[;] +1 per bop,
,Call for Backup Thief,Yoink|Borrow equipment,Call for Backup Thief,Yoink|Borrow equipment,
,Call for Backup Robot,Slot Machine|Get random equipment,Call for Backup Robot,Slot Machine|Get random equipment,
,Call for Backup Witch,Magic Trick|Discard current hand,Call for Backup Witch,Magic Trick|Discard current hand,
,Call for Backup Inventor,Inspiration|Copy next card,Call for Backup Inventor,Inspiration|Copy next card,
,Sweets,Heal [heal]2. If above max hp[;]|convert excess to shield,Sweets,Heal [heal]2. If above max hp[;]|convert excess to shield,
,Sweets_upgraded,Heal [heal]3. If above max hp[;]|convert excess to shield,Sweets_upgraded,Heal [heal]3. If above max hp[;]|convert excess to shield,
,Sweets_downgraded,Heal [heal]1 health,Sweets_downgraded,Heal [heal]1 health,
,Liquorice,Add [poison]2 poison,Liquorice,Add [poison]2 poison,
,Liquorice_upgraded,Add [poison]3 poison,Liquorice_upgraded,Add [poison]3 poison,
,Liquorice_downgraded,Add [poison]1 poison,Liquorice_downgraded,Add [poison]1 poison,
,Wind up Fist,Do [sword]5 damage,Wind up Fist,Do [sword]5 damage,
,Wind up Fist_upgraded,Do [sword]11 damage,Wind up Fist_upgraded,Do [sword]11 damage,
,Wind up Fist_downgraded,Do [sword]4 damage,Wind up Fist_downgraded,Do [sword]4 damage,
,Buzzer,Inflict [shock]1 shock,Buzzer,Inflict [shock]1 shock,
,Buzzer_upgraded,Inflict [shock]1 shock,Buzzer_upgraded,Inflict [shock]1 shock,
,Punchline,Do [sword]5 damage,Punchline,Do [sword]5 damage,
,Punchline_downgraded,Do [sword]2 damage,Punchline_downgraded,Do [sword]2 damage,
,Dice Cannon,Do [sword]1 damage|[gray](Reuseable),Dice Cannon,Do [sword]1 damage|[gray](Reuseable),
,Dice Cannon_upgraded,Do [sword]2 damage|[gray](Reuseable),Dice Cannon_upgraded,Do [sword]2 damage|[gray](Reuseable),
,Grand Finale,Do [sword]15 damage,Grand Finale,Do [sword]15 damage,
,Grand Finale_upgraded,Do [sword]15 damage,Grand Finale_upgraded,Do [sword]15 damage,
,Grand Finale_downgraded,Do [sword]5 damage,Grand Finale_downgraded,Do [sword]5 damage,
,Encore,Take an extra turn|[gray](once per battle),Encore,Take an extra turn|[gray](once per battle),
,Finders Keepers,After the battle[comma] keep|one piece of equipment,Finders Keepers,After the battle[comma] keep|one piece of equipment,
,Grindstone,Increase all equipment|durability by 1,Grindstone,Increase all equipment|durability by 1,
,Silver Dagger,Do [sword]<d6> damage[;]|if odd[;] get a new dice,Silver Dagger,Do [sword]<d6> damage[;]|if odd[;] get a new dice,
,Gold Dagger,Do [sword]<d6> damage[;]|if even[;] get a new dice,Gold Dagger,Do [sword]<d6> damage[;]|if even[;] get a new dice,
,Ice Shatter,Do [ice]<d6> damage[;]|+[ice]3 if enemy is frozen,Ice Shatter,Do [ice]<d6> damage[;]|+[ice]3 if enemy is frozen,
,Ice Shatter_upgraded,Do [ice]<d6> damage[;]|double if enemy is frozen,Ice Shatter_upgraded,Do [ice]<d6> damage[;]|double if enemy is frozen,
,Ice Shatter_downgraded,Do [ice]<d6> damage[;]|+[ice]3 if enemy is frozen,Ice Shatter_downgraded,Do [ice]<d6> damage[;]|+[ice]3 if enemy is frozen,
,Flame Blast,Do [fire]6 damage for|each burning enemy dice,Flame Blast,Do [fire]6 damage for|each burning enemy dice,
,Flame Blast_upgraded,Do [fire]7 damage for|each burning enemy dice,Flame Blast_upgraded,Do [fire]7 damage for|each burning enemy dice,
,Flame Blast_downgraded,Do [fire]4 damage for|each burning enemy dice,Flame Blast_downgraded,Do [fire]4 damage for|each burning enemy dice,
,High Voltage,Do [shock]<d6> damage[;] return|dice if enemy is shocked,High Voltage,Do [shock]<d6> damage[;] return|dice if enemy is shocked,
,High Voltage_upgraded,Do [shock]<d6> damage[;] return|dice if enemy is shocked,High Voltage_upgraded,Do [shock]<d6> damage[;] return|dice if enemy is shocked,
,High Voltage_downgraded,Do [shock]<d6> damage[;] return|dice if enemy is shocked,High Voltage_downgraded,Do [shock]<d6> damage[;] return|dice if enemy is shocked,
,Resonance,Do [weaken]3 damage[;]|+[weaken]2 if enemy is weak,Resonance,Do [weaken]3 damage[;]|+[weaken]2 if enemy is weak,
,Resonance_upgraded,Do [weaken]3 damage[;]|+[weaken]4 if enemy is weak,Resonance_upgraded,Do [weaken]3 damage[;]|+[weaken]4 if enemy is weak,
,Resonance_downgraded,Do [weaken]1 damage[;]|+[weaken]2 if enemy is weak,Resonance_downgraded,Do [weaken]1 damage[;]|+[weaken]2 if enemy is weak,
,Spark,Burns [fire]1 dice,Spark,Burns [fire]1 dice,
,Snowflake,Freeze [ice]1 dice,Snowflake,Freeze [ice]1 dice,
,Incoming!,Add a Juggling Ball to|your deck for this fight,Incoming!,Add a Juggling Ball to|your deck for this fight,
,Whisper,Weaken [weaken]1 equipment,Whisper,Weaken [weaken]1 equipment,
,Spare 1,A spare one,Spare 1,A spare one,
,Spare 1_upgraded,A spare one[;]|Do [sword]2 damage,Spare 1_upgraded,A spare one[;]|Do [sword]2 damage,
,Spare 2,A spare two,Spare 2,A spare two,
,Spare 2_upgraded,A spare two[;]|Do [sword]2 damage,Spare 2_upgraded,A spare two[;]|Do [sword]2 damage,
,Spare 3,A spare three,Spare 3,A spare three,
,Spare 3_upgraded,A spare three[;]|Do [sword]2 damage,Spare 3_upgraded,A spare three[;]|Do [sword]2 damage,
,Spare 4,A spare four,Spare 4,A spare four,
,Spare 4_upgraded,A spare four[;]|Do [sword]2 damage,Spare 4_upgraded,A spare four[;]|Do [sword]2 damage,
,Spare 5,A spare five,Spare 5,A spare five,
,Spare 5_upgraded,A spare five[;]|Do [sword]2 damage,Spare 5_upgraded,A spare five[;]|Do [sword]2 damage,
,Spare 6,A spare six,Spare 6,A spare six,
